,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win
0,2,11,0,3,0,1,0,2,0,2,11,31,-12.013081788724499,False
1,6,7,0,1,0,2,0,5,2,0,27,36,-5.773306304455275,False
2,11,3,3,0,2,0,3,0,1,0,40,27,5.901981585179634,True
3,0,9,0,2,0,1,0,3,0,2,19,39,-11.511684744883965,False
4,11,5,2,0,2,0,2,3,1,1,35,30,-2.713263108706151,True
5,9,4,2,0,1,0,1,2,0,2,37,26,6.862896599020722,True
6,8,3,0,0,1,0,4,0,0,2,39,20,8.946813831968008,True
7,9,5,1,0,1,0,2,3,1,0,60,46,9.130003666379544,True
8,2,11,0,3,0,1,2,2,0,1,24,41,-7.513788509001543,False
9,9,2,2,0,1,0,3,1,1,0,46,30,2.963161161040098,True
10,8,2,1,0,0,0,2,0,1,0,41,17,13.863908228933518,True
11,8,5,1,0,1,0,4,0,1,1,42,25,8.558054370718715,True
12,2,7,0,3,0,1,0,4,0,2,21,32,-7.759406112162111,False
13,10,1,2,0,1,0,2,1,1,1,25,18,3.9401960696828695,True
14,3,9,0,4,0,1,1,3,0,2,23,36,-6.5823193642849915,False
15,7,0,1,0,1,0,3,0,1,0,29,15,9.510204679167153,True
16,3,10,0,3,0,2,0,4,1,1,17,43,-13.003369538229755,False
17,3,11,0,4,0,1,2,2,0,2,17,36,-10.955658590684529,False
18,9,0,2,0,1,0,4,0,1,0,42,22,10.79764817296661,True
19,5,10,1,2,0,1,0,4,1,0,23,30,-3.0795819001476445,False
20,9,9,2,2,2,1,2,4,1,1,50,46,1.231454817390599,False
21,1,9,0,1,0,1,1,2,0,2,19,34,-7.8794411128708575,False
22,2,11,0,3,0,1,1,2,1,1,26,46,-10.76716528005371,False
23,10,5,2,0,1,1,2,3,2,0,39,36,3.196448490780959,True
24,0,10,0,2,0,1,1,2,0,1,32,37,-2.8621511332825094,False
25,9,3,3,0,2,0,2,3,0,1,53,32,7.661066478684994,True
26,8,8,1,1,1,1,3,3,0,1,23,39,-9.489848984786654,False
27,7,8,0,1,0,2,3,1,0,2,31,33,-0.5224480477282185,False
28,11,4,3,0,2,0,3,1,1,0,44,33,6.378377615752797,True
29,4,7,0,2,0,2,0,5,0,2,41,47,-1.765297092275631,False
30,9,4,1,0,0,1,4,0,0,2,59,44,1.5714530049179487,True
31,1,10,0,4,1,0,1,5,0,1,48,54,-4.283531016018685,False
32,2,10,0,2,0,1,2,2,0,1,18,20,-2.1280312855635515,False
33,5,8,0,1,1,1,2,3,0,2,27,40,-7.5465782964743795,False
34,2,10,0,2,0,1,0,2,1,1,16,35,-14.695528508696892,False
35,2,10,0,2,0,1,0,3,0,2,21,33,-10.867591945730005,False
36,10,4,2,0,1,0,3,1,0,1,45,36,7.335192433944236,True
37,9,3,1,0,0,1,3,1,1,0,34,23,4.798403400629134,True
38,0,10,0,4,0,1,0,3,0,2,21,48,-9.404687065401532,False
39,10,6,3,1,2,0,4,1,0,2,41,27,3.5314088374929824,True
40,1,11,0,3,0,0,0,2,0,2,13,33,-12.565647648781571,False
41,8,9,1,1,1,0,1,1,0,1,40,24,6.184363296022198,True
42,5,11,0,3,1,1,2,3,1,0,38,23,4.1803520452172975,False
43,1,8,0,1,0,1,1,2,1,1,21,34,-8.359532666716504,False
44,4,9,0,3,0,1,1,3,0,2,49,47,-0.189760913430554,False
45,1,8,0,1,0,0,1,3,0,2,13,36,-10.764958582555899,False
46,1,11,0,4,1,1,0,2,0,1,19,40,-7.155343337216742,False
47,4,11,0,3,0,2,1,4,2,0,33,38,-2.475408898303421,False
48,3,11,0,3,0,1,2,2,0,2,30,38,-2.59737928647332,False
49,10,2,2,0,1,0,3,1,1,0,40,23,9.555580785458787,True
50,3,9,0,1,0,1,1,3,1,1,25,29,-2.9461208618364196,False
51,7,5,1,0,2,0,4,0,1,0,45,25,9.675781331148002,True
52,6,3,0,0,1,0,0,2,2,0,20,16,1.864431135648637,True
53,3,8,0,2,1,1,0,4,2,0,25,40,-6.3346906834509795,False
54,11,2,5,0,1,0,4,0,0,1,39,27,0.6550140585318189,True
55,6,4,1,0,1,0,4,0,1,0,40,24,6.576328197535247,True
56,11,1,2,0,1,0,2,2,1,0,38,22,5.438793928499216,True
57,9,2,1,0,1,0,2,0,2,0,47,25,11.107761312579537,True
58,8,2,1,0,1,0,3,0,2,0,32,13,13.980189182111154,True
59,2,8,0,1,0,1,1,3,0,2,26,39,-6.093845512836438,False
60,11,0,2,0,1,0,4,0,1,1,44,15,12.732255115944021,True
61,2,7,0,1,1,1,4,1,0,1,28,43,-9.724285273066478,False
