,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win
0,3,4,1,3,0,0,0,0,0,0,77,64,4.124739573572953,False
1,7,3,1,0,1,0,3,1,2,0,25,19,3.5441230410511864,True
2,9,2,2,0,1,0,2,2,2,0,36,27,5.33957287614777,True
3,3,10,0,2,0,2,3,1,0,2,43,36,3.7087178904321476,False
4,4,2,3,1,0,0,0,0,0,0,74,80,-1.6145133589396963,True
5,5,2,0,0,0,1,4,0,0,1,46,25,5.524576201196332,True
6,11,2,2,0,1,0,3,1,2,0,31,14,9.276561981811021,True
7,4,3,2,2,0,0,0,0,0,0,76,72,0.3583103431443888,True
8,3,6,0,1,0,0,0,4,1,1,31,43,-6.305028304780691,False
9,2,10,0,3,0,2,3,1,1,1,34,52,-4.751783959535736,False
10,7,9,0,1,0,2,2,4,0,1,33,45,-2.841097298655775,False
11,10,6,2,0,1,0,3,3,0,2,54,46,7.168616369794869,True
12,10,0,2,0,1,0,4,0,2,0,29,6,15.479921230782075,True
13,0,11,0,3,0,1,0,4,0,2,20,33,-8.375937903469001,False
14,2,11,0,3,0,1,2,2,0,2,21,31,-2.5535961854783054,False
15,8,10,0,2,1,1,3,2,1,1,33,41,-3.5719539046848467,False
16,10,4,3,0,2,0,3,2,2,0,48,36,4.2354637326938445,True
17,5,7,0,1,1,0,2,2,1,0,17,31,-9.595834107678904,False
18,2,11,0,3,0,1,0,4,2,0,22,40,-8.1822420970909,False
19,4,4,1,1,0,0,0,0,0,0,57,47,2.542376528340867,True
20,4,3,1,2,0,0,0,0,0,0,79,85,0.48111677279342757,True
21,3,9,0,2,0,1,1,3,1,1,24,28,-4.217031986261112,False
22,3,11,0,4,0,1,2,2,2,0,27,48,-7.882612128910893,False
23,5,9,1,3,1,1,2,4,1,1,33,45,-5.2017437804067015,False
24,8,9,2,1,0,1,3,3,2,0,48,52,-2.3095531608693776,False
25,2,9,0,2,0,1,3,2,2,0,21,33,-6.4017685451537645,False
26,2,4,1,3,0,0,0,0,0,0,46,69,-4.564554944607913,False
27,7,2,1,0,1,0,4,1,1,0,31,33,3.254265242941642,True
28,9,0,2,0,1,0,2,1,2,0,46,17,10.288089411613562,True
29,11,3,3,0,1,0,2,2,2,0,42,22,9.094152742592804,True
30,6,11,0,4,1,2,2,4,1,1,48,48,1.5747052729218467,False
31,1,11,0,3,1,0,0,4,1,1,29,43,-2.6896394557291927,False
32,9,3,2,0,1,1,2,3,2,0,50,39,0.470280815010895,True
33,8,4,1,0,1,0,3,1,0,1,23,11,8.86366379573061,True
34,6,10,0,2,0,1,1,4,1,1,22,37,-8.77342644312131,False
35,9,7,2,3,1,1,4,0,0,2,32,33,4.251813701633196,True
36,3,5,0,0,0,1,1,3,1,1,21,30,-6.721772535158692,False
37,1,4,0,2,0,0,0,0,0,0,48,65,-1.7586089002943908,False
38,9,5,2,0,1,0,4,0,1,1,48,20,12.029702495905479,True
39,4,2,4,2,0,0,0,0,0,0,98,76,0.8948861753888053,True
40,4,2,1,1,0,0,0,0,0,0,73,51,3.885258826690446,True
41,6,3,0,0,2,0,4,0,1,0,35,23,9.128088995590083,True
42,2,5,0,0,0,1,0,4,0,1,13,27,-9.38963003477997,False
43,10,2,3,0,2,0,3,1,2,0,48,29,5.812597456175411,True
44,3,10,0,2,0,1,1,3,1,1,25,38,-9.811803929638884,False
45,6,6,0,1,0,1,2,2,2,0,25,32,-8.952699093504819,False
46,4,2,2,2,0,0,0,0,0,0,86,58,4.534238635409359,True
47,2,4,1,3,0,0,0,0,0,0,79,83,-0.20666020760772597,False
48,9,2,2,0,1,0,3,1,0,2,40,21,7.011082801918015,True
49,10,0,2,0,1,0,3,1,1,0,47,16,11.793711822161079,True
50,3,11,0,3,0,2,2,3,0,2,18,20,2.151862251400779,False
51,4,9,0,1,0,2,1,3,0,1,35,28,8.323083964618561,False
52,3,6,0,1,0,2,2,2,0,1,20,34,-4.9327986202573015,False
53,4,7,0,1,1,2,3,2,0,2,24,29,-1.9593354981249362,False
54,11,0,2,0,0,0,4,0,2,0,39,13,15.203642138097212,True
55,3,4,1,3,0,0,0,0,0,0,77,64,4.124739573572953,False
56,7,3,1,0,1,0,3,1,2,0,25,19,3.5441230410511864,True
57,9,2,2,0,1,0,2,2,2,0,36,27,5.33957287614777,True
58,3,10,0,2,0,2,3,1,0,2,43,36,3.7087178904321476,False
59,4,2,3,1,0,0,0,0,0,0,74,80,-1.6145133589396963,True
60,5,2,0,0,0,1,4,0,0,1,46,25,5.524576201196332,True
61,11,2,2,0,1,0,3,1,2,0,31,14,9.276561981811021,True
62,4,3,2,2,0,0,0,0,0,0,76,72,0.3583103431443888,True
63,3,6,0,1,0,0,0,4,1,1,31,43,-6.305028304780691,False
64,2,10,0,3,0,2,3,1,1,1,34,52,-4.751783959535736,False
65,7,9,0,1,0,2,2,4,0,1,33,45,-2.841097298655775,False
66,10,6,2,0,1,0,3,3,0,2,54,46,7.168616369794869,True
67,10,0,2,0,1,0,4,0,2,0,29,6,15.479921230782075,True
68,0,11,0,3,0,1,0,4,0,2,20,33,-8.375937903469001,False
69,2,11,0,3,0,1,2,2,0,2,21,31,-2.5535961854783054,False
70,8,10,0,2,1,1,3,2,1,1,33,41,-3.5719539046848467,False
71,10,4,3,0,2,0,3,2,2,0,48,36,4.2354637326938445,True
72,5,7,0,1,1,0,2,2,1,0,17,31,-9.595834107678904,False
73,2,11,0,3,0,1,0,4,2,0,22,40,-8.1822420970909,False
74,4,4,1,1,0,0,0,0,0,0,57,47,2.542376528340867,True
75,4,3,1,2,0,0,0,0,0,0,79,85,0.48111677279342757,True
76,3,9,0,2,0,1,1,3,1,1,24,28,-4.217031986261112,False
77,3,11,0,4,0,1,2,2,2,0,27,48,-7.882612128910893,False
78,5,9,1,3,1,1,2,4,1,1,33,45,-5.2017437804067015,False
79,8,9,2,1,0,1,3,3,2,0,48,52,-2.3095531608693776,False
80,2,9,0,2,0,1,3,2,2,0,21,33,-6.4017685451537645,False
81,2,4,1,3,0,0,0,0,0,0,46,69,-4.564554944607913,False
82,7,2,1,0,1,0,4,1,1,0,31,33,3.254265242941642,True
83,9,0,2,0,1,0,2,1,2,0,46,17,10.288089411613562,True
84,11,3,3,0,1,0,2,2,2,0,42,22,9.094152742592804,True
85,6,11,0,4,1,2,2,4,1,1,48,48,1.5747052729218467,False
86,1,11,0,3,1,0,0,4,1,1,29,43,-2.6896394557291927,False
87,9,3,2,0,1,1,2,3,2,0,50,39,0.470280815010895,True
88,8,4,1,0,1,0,3,1,0,1,23,11,8.86366379573061,True
89,6,10,0,2,0,1,1,4,1,1,22,37,-8.77342644312131,False
90,9,7,2,3,1,1,4,0,0,2,32,33,4.251813701633196,True
91,3,5,0,0,0,1,1,3,1,1,21,30,-6.721772535158692,False
92,1,4,0,2,0,0,0,0,0,0,48,65,-1.7586089002943908,False
93,9,5,2,0,1,0,4,0,1,1,48,20,12.029702495905479,True
94,4,2,4,2,0,0,0,0,0,0,98,76,0.8948861753888053,True
95,4,2,1,1,0,0,0,0,0,0,73,51,3.885258826690446,True
96,6,3,0,0,2,0,4,0,1,0,35,23,9.128088995590083,True
97,2,5,0,0,0,1,0,4,0,1,13,27,-9.38963003477997,False
98,10,2,3,0,2,0,3,1,2,0,48,29,5.812597456175411,True
99,3,10,0,2,0,1,1,3,1,1,25,38,-9.811803929638884,False
100,6,6,0,1,0,1,2,2,2,0,25,32,-8.952699093504819,False
101,4,2,2,2,0,0,0,0,0,0,86,58,4.534238635409359,True
102,2,4,1,3,0,0,0,0,0,0,79,83,-0.20666020760772597,False
103,9,2,2,0,1,0,3,1,0,2,40,21,7.011082801918015,True
104,10,0,2,0,1,0,3,1,1,0,47,16,11.793711822161079,True
105,3,11,0,3,0,2,2,3,0,2,18,20,2.151862251400779,False
106,4,9,0,1,0,2,1,3,0,1,35,28,8.323083964618561,False
107,3,6,0,1,0,2,2,2,0,1,20,34,-4.9327986202573015,False
108,4,7,0,1,1,2,3,2,0,2,24,29,-1.9593354981249362,False
109,11,0,2,0,0,0,4,0,2,0,39,13,15.203642138097212,True
110,3,4,1,3,0,0,0,0,0,0,77,64,4.124739573572953,False
111,7,3,1,0,1,0,3,1,2,0,25,19,3.5441230410511864,True
112,9,2,2,0,1,0,2,2,2,0,36,27,5.33957287614777,True
113,3,10,0,2,0,2,3,1,0,2,43,36,3.7087178904321476,False
114,4,2,3,1,0,0,0,0,0,0,74,80,-1.6145133589396963,True
115,5,2,0,0,0,1,4,0,0,1,46,25,5.524576201196332,True
116,11,2,2,0,1,0,3,1,2,0,31,14,9.276561981811021,True
117,4,3,2,2,0,0,0,0,0,0,76,72,0.3583103431443888,True
118,3,6,0,1,0,0,0,4,1,1,31,43,-6.305028304780691,False
119,2,10,0,3,0,2,3,1,1,1,34,52,-4.751783959535736,False
120,7,9,0,1,0,2,2,4,0,1,33,45,-2.841097298655775,False
121,10,6,2,0,1,0,3,3,0,2,54,46,7.168616369794869,True
122,10,0,2,0,1,0,4,0,2,0,29,6,15.479921230782075,True
123,0,11,0,3,0,1,0,4,0,2,20,33,-8.375937903469001,False
124,2,11,0,3,0,1,2,2,0,2,21,31,-2.5535961854783054,False
125,8,10,0,2,1,1,3,2,1,1,33,41,-3.5719539046848467,False
126,10,4,3,0,2,0,3,2,2,0,48,36,4.2354637326938445,True
127,5,7,0,1,1,0,2,2,1,0,17,31,-9.595834107678904,False
128,2,11,0,3,0,1,0,4,2,0,22,40,-8.1822420970909,False
129,4,4,1,1,0,0,0,0,0,0,57,47,2.542376528340867,True
130,4,3,1,2,0,0,0,0,0,0,79,85,0.48111677279342757,True
131,3,9,0,2,0,1,1,3,1,1,24,28,-4.217031986261112,False
132,3,11,0,4,0,1,2,2,2,0,27,48,-7.882612128910893,False
133,5,9,1,3,1,1,2,4,1,1,33,45,-5.2017437804067015,False
134,8,9,2,1,0,1,3,3,2,0,48,52,-2.3095531608693776,False
135,2,9,0,2,0,1,3,2,2,0,21,33,-6.4017685451537645,False
136,2,4,1,3,0,0,0,0,0,0,46,69,-4.564554944607913,False
137,7,2,1,0,1,0,4,1,1,0,31,33,3.254265242941642,True
138,9,0,2,0,1,0,2,1,2,0,46,17,10.288089411613562,True
139,11,3,3,0,1,0,2,2,2,0,42,22,9.094152742592804,True
140,6,11,0,4,1,2,2,4,1,1,48,48,1.5747052729218467,False
141,1,11,0,3,1,0,0,4,1,1,29,43,-2.6896394557291927,False
142,9,3,2,0,1,1,2,3,2,0,50,39,0.470280815010895,True
143,8,4,1,0,1,0,3,1,0,1,23,11,8.86366379573061,True
144,6,10,0,2,0,1,1,4,1,1,22,37,-8.77342644312131,False
145,9,7,2,3,1,1,4,0,0,2,32,33,4.251813701633196,True
146,3,5,0,0,0,1,1,3,1,1,21,30,-6.721772535158692,False
147,1,4,0,2,0,0,0,0,0,0,48,65,-1.7586089002943908,False
148,9,5,2,0,1,0,4,0,1,1,48,20,12.029702495905479,True
149,4,2,4,2,0,0,0,0,0,0,98,76,0.8948861753888053,True
150,4,2,1,1,0,0,0,0,0,0,73,51,3.885258826690446,True
151,6,3,0,0,2,0,4,0,1,0,35,23,9.128088995590083,True
152,2,5,0,0,0,1,0,4,0,1,13,27,-9.38963003477997,False
153,10,2,3,0,2,0,3,1,2,0,48,29,5.812597456175411,True
154,3,10,0,2,0,1,1,3,1,1,25,38,-9.811803929638884,False
155,6,6,0,1,0,1,2,2,2,0,25,32,-8.952699093504819,False
156,4,2,2,2,0,0,0,0,0,0,86,58,4.534238635409359,True
157,2,4,1,3,0,0,0,0,0,0,79,83,-0.20666020760772597,False
158,9,2,2,0,1,0,3,1,0,2,40,21,7.011082801918015,True
159,10,0,2,0,1,0,3,1,1,0,47,16,11.793711822161079,True
160,3,11,0,3,0,2,2,3,0,2,18,20,2.151862251400779,False
161,4,9,0,1,0,2,1,3,0,1,35,28,8.323083964618561,False
162,3,6,0,1,0,2,2,2,0,1,20,34,-4.9327986202573015,False
163,4,7,0,1,1,2,3,2,0,2,24,29,-1.9593354981249362,False
164,11,0,2,0,0,0,4,0,2,0,39,13,15.203642138097212,True
165,3,4,1,3,0,0,0,0,0,0,77,64,4.124739573572953,False
166,7,3,1,0,1,0,3,1,2,0,25,19,3.5441230410511864,True
167,9,2,2,0,1,0,2,2,2,0,36,27,5.33957287614777,True
168,3,10,0,2,0,2,3,1,0,2,43,36,3.7087178904321476,False
169,4,2,3,1,0,0,0,0,0,0,74,80,-1.6145133589396963,True
170,5,2,0,0,0,1,4,0,0,1,46,25,5.524576201196332,True
171,11,2,2,0,1,0,3,1,2,0,31,14,9.276561981811021,True
172,4,3,2,2,0,0,0,0,0,0,76,72,0.3583103431443888,True
173,3,6,0,1,0,0,0,4,1,1,31,43,-6.305028304780691,False
174,2,10,0,3,0,2,3,1,1,1,34,52,-4.751783959535736,False
175,7,9,0,1,0,2,2,4,0,1,33,45,-2.841097298655775,False
176,10,6,2,0,1,0,3,3,0,2,54,46,7.168616369794869,True
177,10,0,2,0,1,0,4,0,2,0,29,6,15.479921230782075,True
178,0,11,0,3,0,1,0,4,0,2,20,33,-8.375937903469001,False
179,2,11,0,3,0,1,2,2,0,2,21,31,-2.5535961854783054,False
180,8,10,0,2,1,1,3,2,1,1,33,41,-3.5719539046848467,False
181,10,4,3,0,2,0,3,2,2,0,48,36,4.2354637326938445,True
182,5,7,0,1,1,0,2,2,1,0,17,31,-9.595834107678904,False
183,2,11,0,3,0,1,0,4,2,0,22,40,-8.1822420970909,False
184,4,4,1,1,0,0,0,0,0,0,57,47,2.542376528340867,True
185,4,3,1,2,0,0,0,0,0,0,79,85,0.48111677279342757,True
186,3,9,0,2,0,1,1,3,1,1,24,28,-4.217031986261112,False
187,3,11,0,4,0,1,2,2,2,0,27,48,-7.882612128910893,False
188,5,9,1,3,1,1,2,4,1,1,33,45,-5.2017437804067015,False
189,8,9,2,1,0,1,3,3,2,0,48,52,-2.3095531608693776,False
190,2,9,0,2,0,1,3,2,2,0,21,33,-6.4017685451537645,False
191,2,4,1,3,0,0,0,0,0,0,46,69,-4.564554944607913,False
192,7,2,1,0,1,0,4,1,1,0,31,33,3.254265242941642,True
193,9,0,2,0,1,0,2,1,2,0,46,17,10.288089411613562,True
194,11,3,3,0,1,0,2,2,2,0,42,22,9.094152742592804,True
195,6,11,0,4,1,2,2,4,1,1,48,48,1.5747052729218467,False
196,1,11,0,3,1,0,0,4,1,1,29,43,-2.6896394557291927,False
197,9,3,2,0,1,1,2,3,2,0,50,39,0.470280815010895,True
198,8,4,1,0,1,0,3,1,0,1,23,11,8.86366379573061,True
199,6,10,0,2,0,1,1,4,1,1,22,37,-8.77342644312131,False
200,9,7,2,3,1,1,4,0,0,2,32,33,4.251813701633196,True
201,3,5,0,0,0,1,1,3,1,1,21,30,-6.721772535158692,False
202,1,4,0,2,0,0,0,0,0,0,48,65,-1.7586089002943908,False
203,9,5,2,0,1,0,4,0,1,1,48,20,12.029702495905479,True
204,4,2,4,2,0,0,0,0,0,0,98,76,0.8948861753888053,True
205,4,2,1,1,0,0,0,0,0,0,73,51,3.885258826690446,True
206,6,3,0,0,2,0,4,0,1,0,35,23,9.128088995590083,True
207,2,5,0,0,0,1,0,4,0,1,13,27,-9.38963003477997,False
208,10,2,3,0,2,0,3,1,2,0,48,29,5.812597456175411,True
209,3,10,0,2,0,1,1,3,1,1,25,38,-9.811803929638884,False
210,6,6,0,1,0,1,2,2,2,0,25,32,-8.952699093504819,False
211,4,2,2,2,0,0,0,0,0,0,86,58,4.534238635409359,True
212,2,4,1,3,0,0,0,0,0,0,79,83,-0.20666020760772597,False
213,9,2,2,0,1,0,3,1,0,2,40,21,7.011082801918015,True
214,10,0,2,0,1,0,3,1,1,0,47,16,11.793711822161079,True
215,3,11,0,3,0,2,2,3,0,2,18,20,2.151862251400779,False
216,4,9,0,1,0,2,1,3,0,1,35,28,8.323083964618561,False
217,3,6,0,1,0,2,2,2,0,1,20,34,-4.9327986202573015,False
218,4,7,0,1,1,2,3,2,0,2,24,29,-1.9593354981249362,False
219,11,0,2,0,0,0,4,0,2,0,39,13,15.203642138097212,True
220,3,4,1,3,0,0,0,0,0,0,77,64,4.124739573572953,False
221,7,3,1,0,1,0,3,1,2,0,25,19,3.5441230410511864,True
222,9,2,2,0,1,0,2,2,2,0,36,27,5.33957287614777,True
223,3,10,0,2,0,2,3,1,0,2,43,36,3.7087178904321476,False
224,4,2,3,1,0,0,0,0,0,0,74,80,-1.6145133589396963,True
225,5,2,0,0,0,1,4,0,0,1,46,25,5.524576201196332,True
226,11,2,2,0,1,0,3,1,2,0,31,14,9.276561981811021,True
227,4,3,2,2,0,0,0,0,0,0,76,72,0.3583103431443888,True
228,3,6,0,1,0,0,0,4,1,1,31,43,-6.305028304780691,False
229,2,10,0,3,0,2,3,1,1,1,34,52,-4.751783959535736,False
230,7,9,0,1,0,2,2,4,0,1,33,45,-2.841097298655775,False
231,10,6,2,0,1,0,3,3,0,2,54,46,7.168616369794869,True
232,10,0,2,0,1,0,4,0,2,0,29,6,15.479921230782075,True
233,0,11,0,3,0,1,0,4,0,2,20,33,-8.375937903469001,False
234,2,11,0,3,0,1,2,2,0,2,21,31,-2.5535961854783054,False
