,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win
0,8,3,1,0,2,0,4,1,2,0,32,13,8.801653940929612,True
1,0,8,0,2,0,1,0,4,0,2,9,25,-15.508674049206164,False
2,2,11,0,3,0,1,2,1,0,2,15,33,-6.423457690237193,False
3,11,2,3,0,2,0,3,0,2,0,34,20,4.426741439104134,True
4,7,3,1,0,1,0,3,0,0,2,26,15,9.967020816684723,True
5,10,7,3,1,3,0,3,3,0,2,18,35,-4.8681394328934005,False
6,9,4,1,0,3,0,4,2,1,1,28,21,3.131011366827252,True
7,10,5,1,0,1,0,4,0,2,0,34,24,2.764733710124979,True
8,10,5,1,1,1,1,0,3,1,1,44,38,3.4212673842199735,True
9,5,11,0,2,0,2,1,4,1,1,40,52,-1.5099234116315188,False
10,5,8,0,1,1,2,2,3,1,1,28,40,-6.3784844350812975,False
11,5,8,0,1,0,1,2,1,1,1,26,31,-6.329229873485083,False
12,0,11,0,3,0,1,1,2,0,2,21,34,-8.27009020807639,False
13,11,2,3,0,1,0,4,0,1,0,57,37,2.52266621664954,True
14,3,11,0,3,0,2,0,4,2,0,17,31,-7.057787105912638,False
15,2,3,1,2,0,0,0,0,0,0,64,64,0.02819772903677631,False
16,9,3,2,0,1,0,4,0,1,1,35,28,1.4620801910082122,True
17,8,9,1,3,1,1,2,3,2,0,36,37,-3.1091153320137224,False
18,0,10,0,2,0,1,0,4,0,2,11,33,-10.132085033641033,False
19,11,6,3,0,2,0,4,0,1,0,62,66,-4.924871026428605,True
20,2,11,0,4,0,2,1,3,0,2,22,31,-3.832765725123714,False
21,3,10,0,1,0,1,0,4,2,0,30,35,-3.445423887315741,False
22,3,10,0,2,0,1,0,3,1,1,24,32,-2.5310085932687443,False
23,8,3,2,0,1,0,3,1,2,0,30,31,1.671851783965522,True
24,2,11,0,4,0,1,0,4,2,0,22,34,-4.093042391472558,False
25,4,9,0,1,0,1,1,3,1,0,30,42,-6.268246039204087,False
26,3,8,0,1,0,1,2,2,0,1,33,32,-2.492646442512502,False
