,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win
0,6,8,0,1,0,1,0,3,2,0,29,39,-5.522360884195116,False
1,11,1,2,0,1,0,4,0,2,0,35,15,12.52594845257984,True
2,11,1,6,0,1,0,3,1,2,0,35,29,2.232332757515543,True
3,1,8,0,2,0,1,1,3,0,2,16,23,-3.9780961057883815,False
4,8,5,1,1,1,0,4,0,1,1,59,24,13.81445428375454,True
5,11,5,3,1,2,0,3,2,2,0,43,44,2.5712481258467648,True
6,2,10,0,2,0,1,0,3,0,2,17,37,-8.226169428155444,False
7,9,2,2,0,1,0,2,1,2,0,34,17,8.908545216497394,True
8,11,4,2,0,1,0,3,1,2,0,39,19,12.307302284293911,True
9,11,2,2,0,1,0,3,0,2,0,36,14,11.7883184520389,True
10,4,7,0,1,0,2,2,2,2,0,31,36,-0.20484860808102212,False
11,2,9,0,1,0,1,0,4,0,2,24,35,-10.274054637596414,False
12,11,1,3,0,1,0,1,3,1,1,32,14,11.9324224071581,True
13,10,1,3,0,2,0,3,3,1,1,39,36,2.093175729197391,True
14,3,11,0,4,0,2,2,2,0,2,23,30,-5.949507286458584,False
15,2,11,0,2,0,1,0,3,1,1,19,30,-6.626040173477563,False
16,11,8,4,1,2,1,4,1,1,1,56,41,4.023173366806994,True
17,6,6,0,1,1,2,2,4,0,2,35,39,-2.0706476404971212,False
18,9,3,1,0,1,0,3,2,2,0,38,18,7.076915299295713,True
19,11,7,3,2,1,1,2,4,1,0,42,32,2.8824419792926577,True
20,10,3,2,0,1,0,2,2,2,0,28,14,13.763103885157683,True
21,4,9,0,2,1,1,1,4,0,1,43,46,1.222985371225242,False
22,11,7,5,1,2,0,4,1,2,0,41,32,8.204086023904182,True
23,10,3,1,0,0,0,2,1,1,1,35,10,11.839207272373756,True
24,2,8,0,1,0,1,1,3,0,1,31,39,-0.016166381234114624,False
25,6,9,1,1,0,0,0,3,1,1,18,29,-9.963304755778736,False
26,3,10,0,1,0,2,0,4,1,1,28,45,-9.112716649822843,False
27,10,4,4,0,1,1,1,3,2,0,32,34,-0.43656387934411356,True
28,10,5,2,1,3,0,4,1,1,1,38,35,-4.993956050252805,True
29,6,7,1,1,1,0,3,0,0,2,28,28,-0.8788414996987015,True
30,3,7,0,1,0,1,0,3,1,1,26,31,-2.482808646706765,False
31,2,11,0,2,0,1,1,1,0,2,19,36,-8.442733568339243,False
32,7,7,1,0,0,1,2,3,2,0,31,39,-3.2018034711193764,True
33,11,2,3,0,1,0,3,1,1,1,41,25,7.599362395334396,True
34,4,10,0,2,0,1,0,3,2,0,28,39,-6.961137218026508,False
35,1,10,0,2,0,1,1,2,0,2,14,40,-12.259611816219582,False
36,3,8,0,2,0,1,0,3,0,1,23,39,-8.928417133172928,False
37,11,2,4,0,1,0,2,1,1,0,25,10,9.510631475649816,True
38,4,9,0,1,0,1,1,2,1,1,16,36,-8.285428901934765,False
39,1,7,0,1,0,1,0,3,0,2,15,34,-10.51787204414017,False
40,8,8,3,1,0,2,1,3,0,2,21,43,-9.699600844408486,False
41,9,2,1,0,1,0,2,0,2,0,29,21,2.742168557005762,True
42,10,0,3,0,1,0,2,1,1,1,47,25,7.833347009496428,True
43,3,9,0,2,0,2,2,2,0,2,31,44,-8.159878917451906,False
44,7,9,0,2,0,2,3,3,2,0,30,36,-2.9033542489234776,False
45,4,7,0,1,0,2,1,3,2,0,26,49,-8.332702173367402,False
46,5,11,0,3,0,1,2,2,0,2,19,31,-6.4753003608242,False
47,3,7,0,1,0,1,1,3,2,0,13,24,-6.713814055953343,False
48,0,10,0,2,0,1,4,0,0,2,22,34,-4.720364980354745,False
49,6,10,0,2,0,2,0,4,0,2,17,32,-9.28786221095794,False
50,3,6,0,0,0,1,0,4,1,1,7,24,-14.443499874158299,False
51,10,1,2,0,1,0,4,0,2,0,44,24,7.744211439740425,True
52,6,2,0,0,1,0,2,2,1,1,31,23,3.028129933986527,True
53,10,3,2,0,1,0,4,0,1,1,27,17,4.413434282898507,True
54,6,6,1,1,0,1,1,2,0,2,18,30,-7.033516127137631,False
55,11,3,3,0,1,1,3,2,2,0,45,37,-0.8310708713980404,True
56,8,5,1,0,2,0,5,0,0,1,58,29,10.274303381018328,True
57,9,3,2,0,1,0,2,2,2,0,36,21,9.88979960603207,True
58,5,9,0,1,1,1,1,3,1,1,26,33,-4.688246557442291,False
59,2,11,0,2,0,2,1,3,1,1,26,27,-2.3669801886314303,False
60,9,8,2,0,2,0,3,2,1,1,33,28,5.48695435983948,True
61,4,7,0,1,0,1,2,2,1,0,17,34,-8.934199353333973,False
62,3,11,0,3,0,1,1,2,1,1,27,20,2.1016990257942183,False
63,2,11,0,3,0,1,1,3,1,1,30,32,-4.127123103881743,False
64,3,10,0,1,0,1,2,2,1,1,29,36,-6.120545353253881,False
65,10,3,2,0,1,0,3,0,2,0,47,24,10.289889496179349,True
66,3,11,0,3,0,2,1,3,0,2,14,28,-8.045155442881729,False
67,0,11,0,3,0,1,1,2,0,2,10,29,-14.122059252292914,False
68,10,5,2,0,2,0,3,1,0,2,38,35,6.987291969308913,True
69,2,7,0,1,0,1,0,4,1,1,19,36,-8.162488457042699,False
70,5,10,0,2,0,2,2,3,2,0,23,49,-9.168636611678949,False
71,9,3,2,0,2,0,3,2,2,0,29,21,9.665536092955165,True
72,9,4,1,0,2,0,2,2,1,1,46,33,6.568269954760886,True
73,7,3,1,0,0,0,2,2,2,0,28,20,5.555968187731011,True
74,4,8,0,2,1,2,4,2,2,0,37,35,-2.8470255652842837,False
75,4,8,0,1,0,2,2,3,1,1,27,34,-3.3095188532760247,False
76,10,2,2,0,2,0,0,3,2,0,28,28,3.6581429910767795,True
77,10,0,2,0,1,0,3,0,1,1,33,15,9.537786154989952,True
78,6,8,0,1,0,1,0,3,2,0,29,39,-5.522360884195116,False
79,11,1,2,0,1,0,4,0,2,0,35,15,12.52594845257984,True
80,11,1,6,0,1,0,3,1,2,0,35,29,2.232332757515543,True
81,1,8,0,2,0,1,1,3,0,2,16,23,-3.9780961057883815,False
82,8,5,1,1,1,0,4,0,1,1,59,24,13.81445428375454,True
83,11,5,3,1,2,0,3,2,2,0,43,44,2.5712481258467648,True
84,2,10,0,2,0,1,0,3,0,2,17,37,-8.226169428155444,False
85,9,2,2,0,1,0,2,1,2,0,34,17,8.908545216497394,True
86,11,4,2,0,1,0,3,1,2,0,39,19,12.307302284293911,True
87,11,2,2,0,1,0,3,0,2,0,36,14,11.7883184520389,True
88,4,7,0,1,0,2,2,2,2,0,31,36,-0.20484860808102212,False
89,2,9,0,1,0,1,0,4,0,2,24,35,-10.274054637596414,False
90,11,1,3,0,1,0,1,3,1,1,32,14,11.9324224071581,True
91,10,1,3,0,2,0,3,3,1,1,39,36,2.093175729197391,True
92,3,11,0,4,0,2,2,2,0,2,23,30,-5.949507286458584,False
93,2,11,0,2,0,1,0,3,1,1,19,30,-6.626040173477563,False
94,11,8,4,1,2,1,4,1,1,1,56,41,4.023173366806994,True
95,6,6,0,1,1,2,2,4,0,2,35,39,-2.0706476404971212,False
96,9,3,1,0,1,0,3,2,2,0,38,18,7.076915299295713,True
97,11,7,3,2,1,1,2,4,1,0,42,32,2.8824419792926577,True
98,10,3,2,0,1,0,2,2,2,0,28,14,13.763103885157683,True
99,4,9,0,2,1,1,1,4,0,1,43,46,1.222985371225242,False
100,11,7,5,1,2,0,4,1,2,0,41,32,8.204086023904182,True
101,10,3,1,0,0,0,2,1,1,1,35,10,11.839207272373756,True
102,2,8,0,1,0,1,1,3,0,1,31,39,-0.016166381234114624,False
103,6,9,1,1,0,0,0,3,1,1,18,29,-9.963304755778736,False
104,3,10,0,1,0,2,0,4,1,1,28,45,-9.112716649822843,False
105,10,4,4,0,1,1,1,3,2,0,32,34,-0.43656387934411356,True
106,10,5,2,1,3,0,4,1,1,1,38,35,-4.993956050252805,True
107,6,7,1,1,1,0,3,0,0,2,28,28,-0.8788414996987015,True
108,3,7,0,1,0,1,0,3,1,1,26,31,-2.482808646706765,False
109,2,11,0,2,0,1,1,1,0,2,19,36,-8.442733568339243,False
110,7,7,1,0,0,1,2,3,2,0,31,39,-3.2018034711193764,True
111,11,2,3,0,1,0,3,1,1,1,41,25,7.599362395334396,True
112,4,10,0,2,0,1,0,3,2,0,28,39,-6.961137218026508,False
113,1,10,0,2,0,1,1,2,0,2,14,40,-12.259611816219582,False
114,3,8,0,2,0,1,0,3,0,1,23,39,-8.928417133172928,False
115,11,2,4,0,1,0,2,1,1,0,25,10,9.510631475649816,True
116,4,9,0,1,0,1,1,2,1,1,16,36,-8.285428901934765,False
117,1,7,0,1,0,1,0,3,0,2,15,34,-10.51787204414017,False
118,8,8,3,1,0,2,1,3,0,2,21,43,-9.699600844408486,False
119,9,2,1,0,1,0,2,0,2,0,29,21,2.742168557005762,True
120,10,0,3,0,1,0,2,1,1,1,47,25,7.833347009496428,True
121,3,9,0,2,0,2,2,2,0,2,31,44,-8.159878917451906,False
122,7,9,0,2,0,2,3,3,2,0,30,36,-2.9033542489234776,False
123,4,7,0,1,0,2,1,3,2,0,26,49,-8.332702173367402,False
124,5,11,0,3,0,1,2,2,0,2,19,31,-6.4753003608242,False
125,3,7,0,1,0,1,1,3,2,0,13,24,-6.713814055953343,False
126,0,10,0,2,0,1,4,0,0,2,22,34,-4.720364980354745,False
127,6,10,0,2,0,2,0,4,0,2,17,32,-9.28786221095794,False
128,3,6,0,0,0,1,0,4,1,1,7,24,-14.443499874158299,False
129,10,1,2,0,1,0,4,0,2,0,44,24,7.744211439740425,True
130,6,2,0,0,1,0,2,2,1,1,31,23,3.028129933986527,True
131,10,3,2,0,1,0,4,0,1,1,27,17,4.413434282898507,True
132,6,6,1,1,0,1,1,2,0,2,18,30,-7.033516127137631,False
133,11,3,3,0,1,1,3,2,2,0,45,37,-0.8310708713980404,True
134,8,5,1,0,2,0,5,0,0,1,58,29,10.274303381018328,True
135,9,3,2,0,1,0,2,2,2,0,36,21,9.88979960603207,True
136,5,9,0,1,1,1,1,3,1,1,26,33,-4.688246557442291,False
137,2,11,0,2,0,2,1,3,1,1,26,27,-2.3669801886314303,False
138,9,8,2,0,2,0,3,2,1,1,33,28,5.48695435983948,True
139,4,7,0,1,0,1,2,2,1,0,17,34,-8.934199353333973,False
140,3,11,0,3,0,1,1,2,1,1,27,20,2.1016990257942183,False
141,2,11,0,3,0,1,1,3,1,1,30,32,-4.127123103881743,False
142,3,10,0,1,0,1,2,2,1,1,29,36,-6.120545353253881,False
143,10,3,2,0,1,0,3,0,2,0,47,24,10.289889496179349,True
144,3,11,0,3,0,2,1,3,0,2,14,28,-8.045155442881729,False
145,0,11,0,3,0,1,1,2,0,2,10,29,-14.122059252292914,False
146,10,5,2,0,2,0,3,1,0,2,38,35,6.987291969308913,True
147,2,7,0,1,0,1,0,4,1,1,19,36,-8.162488457042699,False
148,5,10,0,2,0,2,2,3,2,0,23,49,-9.168636611678949,False
149,9,3,2,0,2,0,3,2,2,0,29,21,9.665536092955165,True
150,9,4,1,0,2,0,2,2,1,1,46,33,6.568269954760886,True
151,7,3,1,0,0,0,2,2,2,0,28,20,5.555968187731011,True
152,4,8,0,2,1,2,4,2,2,0,37,35,-2.8470255652842837,False
153,4,8,0,1,0,2,2,3,1,1,27,34,-3.3095188532760247,False
154,10,2,2,0,2,0,0,3,2,0,28,28,3.6581429910767795,True
155,10,0,2,0,1,0,3,0,1,1,33,15,9.537786154989952,True
156,6,8,0,1,0,1,0,3,2,0,29,39,-5.522360884195116,False
157,11,1,2,0,1,0,4,0,2,0,35,15,12.52594845257984,True
158,11,1,6,0,1,0,3,1,2,0,35,29,2.232332757515543,True
159,1,8,0,2,0,1,1,3,0,2,16,23,-3.9780961057883815,False
160,8,5,1,1,1,0,4,0,1,1,59,24,13.81445428375454,True
161,11,5,3,1,2,0,3,2,2,0,43,44,2.5712481258467648,True
162,2,10,0,2,0,1,0,3,0,2,17,37,-8.226169428155444,False
163,9,2,2,0,1,0,2,1,2,0,34,17,8.908545216497394,True
164,11,4,2,0,1,0,3,1,2,0,39,19,12.307302284293911,True
165,11,2,2,0,1,0,3,0,2,0,36,14,11.7883184520389,True
166,4,7,0,1,0,2,2,2,2,0,31,36,-0.20484860808102212,False
167,2,9,0,1,0,1,0,4,0,2,24,35,-10.274054637596414,False
168,11,1,3,0,1,0,1,3,1,1,32,14,11.9324224071581,True
169,10,1,3,0,2,0,3,3,1,1,39,36,2.093175729197391,True
170,3,11,0,4,0,2,2,2,0,2,23,30,-5.949507286458584,False
171,2,11,0,2,0,1,0,3,1,1,19,30,-6.626040173477563,False
172,11,8,4,1,2,1,4,1,1,1,56,41,4.023173366806994,True
173,6,6,0,1,1,2,2,4,0,2,35,39,-2.0706476404971212,False
174,9,3,1,0,1,0,3,2,2,0,38,18,7.076915299295713,True
175,11,7,3,2,1,1,2,4,1,0,42,32,2.8824419792926577,True
176,10,3,2,0,1,0,2,2,2,0,28,14,13.763103885157683,True
177,4,9,0,2,1,1,1,4,0,1,43,46,1.222985371225242,False
178,11,7,5,1,2,0,4,1,2,0,41,32,8.204086023904182,True
179,10,3,1,0,0,0,2,1,1,1,35,10,11.839207272373756,True
180,2,8,0,1,0,1,1,3,0,1,31,39,-0.016166381234114624,False
181,6,9,1,1,0,0,0,3,1,1,18,29,-9.963304755778736,False
182,3,10,0,1,0,2,0,4,1,1,28,45,-9.112716649822843,False
183,10,4,4,0,1,1,1,3,2,0,32,34,-0.43656387934411356,True
184,10,5,2,1,3,0,4,1,1,1,38,35,-4.993956050252805,True
185,6,7,1,1,1,0,3,0,0,2,28,28,-0.8788414996987015,True
186,3,7,0,1,0,1,0,3,1,1,26,31,-2.482808646706765,False
187,2,11,0,2,0,1,1,1,0,2,19,36,-8.442733568339243,False
188,7,7,1,0,0,1,2,3,2,0,31,39,-3.2018034711193764,True
189,11,2,3,0,1,0,3,1,1,1,41,25,7.599362395334396,True
190,4,10,0,2,0,1,0,3,2,0,28,39,-6.961137218026508,False
191,1,10,0,2,0,1,1,2,0,2,14,40,-12.259611816219582,False
192,3,8,0,2,0,1,0,3,0,1,23,39,-8.928417133172928,False
193,11,2,4,0,1,0,2,1,1,0,25,10,9.510631475649816,True
194,4,9,0,1,0,1,1,2,1,1,16,36,-8.285428901934765,False
195,1,7,0,1,0,1,0,3,0,2,15,34,-10.51787204414017,False
196,8,8,3,1,0,2,1,3,0,2,21,43,-9.699600844408486,False
197,9,2,1,0,1,0,2,0,2,0,29,21,2.742168557005762,True
198,10,0,3,0,1,0,2,1,1,1,47,25,7.833347009496428,True
199,3,9,0,2,0,2,2,2,0,2,31,44,-8.159878917451906,False
200,7,9,0,2,0,2,3,3,2,0,30,36,-2.9033542489234776,False
201,4,7,0,1,0,2,1,3,2,0,26,49,-8.332702173367402,False
202,5,11,0,3,0,1,2,2,0,2,19,31,-6.4753003608242,False
203,3,7,0,1,0,1,1,3,2,0,13,24,-6.713814055953343,False
204,0,10,0,2,0,1,4,0,0,2,22,34,-4.720364980354745,False
205,6,10,0,2,0,2,0,4,0,2,17,32,-9.28786221095794,False
206,3,6,0,0,0,1,0,4,1,1,7,24,-14.443499874158299,False
207,10,1,2,0,1,0,4,0,2,0,44,24,7.744211439740425,True
208,6,2,0,0,1,0,2,2,1,1,31,23,3.028129933986527,True
209,10,3,2,0,1,0,4,0,1,1,27,17,4.413434282898507,True
210,6,6,1,1,0,1,1,2,0,2,18,30,-7.033516127137631,False
211,11,3,3,0,1,1,3,2,2,0,45,37,-0.8310708713980404,True
212,8,5,1,0,2,0,5,0,0,1,58,29,10.274303381018328,True
213,9,3,2,0,1,0,2,2,2,0,36,21,9.88979960603207,True
214,5,9,0,1,1,1,1,3,1,1,26,33,-4.688246557442291,False
215,2,11,0,2,0,2,1,3,1,1,26,27,-2.3669801886314303,False
216,9,8,2,0,2,0,3,2,1,1,33,28,5.48695435983948,True
217,4,7,0,1,0,1,2,2,1,0,17,34,-8.934199353333973,False
218,3,11,0,3,0,1,1,2,1,1,27,20,2.1016990257942183,False
219,2,11,0,3,0,1,1,3,1,1,30,32,-4.127123103881743,False
220,3,10,0,1,0,1,2,2,1,1,29,36,-6.120545353253881,False
221,10,3,2,0,1,0,3,0,2,0,47,24,10.289889496179349,True
222,3,11,0,3,0,2,1,3,0,2,14,28,-8.045155442881729,False
223,0,11,0,3,0,1,1,2,0,2,10,29,-14.122059252292914,False
224,10,5,2,0,2,0,3,1,0,2,38,35,6.987291969308913,True
225,2,7,0,1,0,1,0,4,1,1,19,36,-8.162488457042699,False
226,5,10,0,2,0,2,2,3,2,0,23,49,-9.168636611678949,False
227,9,3,2,0,2,0,3,2,2,0,29,21,9.665536092955165,True
228,9,4,1,0,2,0,2,2,1,1,46,33,6.568269954760886,True
229,7,3,1,0,0,0,2,2,2,0,28,20,5.555968187731011,True
230,4,8,0,2,1,2,4,2,2,0,37,35,-2.8470255652842837,False
231,4,8,0,1,0,2,2,3,1,1,27,34,-3.3095188532760247,False
232,10,2,2,0,2,0,0,3,2,0,28,28,3.6581429910767795,True
233,10,0,2,0,1,0,3,0,1,1,33,15,9.537786154989952,True
