,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win
0,5,11,0,3,1,1,1,3,1,1,17,33,-9.136555328442512,False
1,3,10,0,2,0,1,1,3,0,2,28,35,-9.582669004547753,False
2,2,11,0,4,0,2,1,4,0,2,14,37,-13.164416681465696,False
3,4,6,0,0,0,1,2,2,1,1,26,37,-6.546103942324223,False
4,10,4,2,0,2,0,2,2,2,0,38,23,8.198632450665656,True
5,4,8,0,1,0,1,2,2,1,1,26,36,-2.532358230194262,False
6,10,5,5,0,3,0,4,2,2,0,41,30,3.4667289326076656,True
7,5,3,1,0,1,0,3,1,1,0,41,30,5.293193443537184,True
8,9,8,2,1,2,0,2,2,1,1,48,44,0.5096391510323599,True
9,11,2,3,0,1,0,4,0,2,0,37,30,4.010233982462282,True
10,11,2,3,0,0,0,2,1,1,0,21,18,6.671555998211851,True
11,10,3,2,0,1,0,3,1,2,0,41,30,5.640872830300431,True
12,11,0,3,0,1,0,4,0,2,0,31,20,4.339913793536098,True
13,10,6,3,0,1,1,4,1,1,0,42,28,5.452902371524679,True
14,5,11,0,3,0,1,3,1,2,0,30,41,-4.855793294321778,False
15,1,7,0,1,0,1,2,2,0,1,22,46,-10.464406381914998,False
16,9,6,2,0,2,0,4,1,0,2,33,27,6.141334182851573,True
17,11,3,2,0,2,0,3,2,0,2,25,25,3.398852150526494,True
18,9,9,2,3,1,1,4,1,0,1,46,41,2.1298319308242455,True
19,4,8,0,1,1,0,2,3,0,2,28,36,-0.8657892462949377,False
20,8,8,2,1,1,1,3,1,0,1,51,37,0.7185232366139687,True
21,8,8,1,0,2,0,1,5,1,0,55,46,1.595045375330045,True
22,8,2,2,0,1,0,1,2,1,1,24,34,-3.6679771045290934,True
23,0,11,0,3,0,1,2,2,0,2,28,47,-6.262410941823042,False
24,10,3,2,0,2,0,4,1,1,1,48,27,6.861066565231383,True
25,8,5,1,0,0,0,1,2,2,0,47,47,2.2101754653190895,True
26,7,10,1,2,0,1,2,2,1,1,35,38,2.4773461125400544,False
27,9,5,2,0,2,0,3,1,2,0,43,29,6.04999819210466,True
28,4,8,0,2,0,1,1,3,2,0,28,37,-5.955744802188562,False
29,2,11,0,2,0,1,0,4,0,1,33,45,-4.29093334143235,False
30,7,3,1,0,1,0,2,1,2,0,37,21,11.96444554159968,True
31,0,11,0,2,1,1,3,2,0,1,42,48,0.7533387410961438,False
32,8,4,1,0,1,0,3,0,1,1,31,15,7.585618195836538,True
33,5,8,1,1,1,1,2,3,0,0,38,53,-4.690993056467384,False
34,4,10,0,2,1,0,0,4,1,1,20,45,-11.880577854363985,False
35,11,5,4,0,1,0,5,0,0,1,68,50,5.356899026062557,True
36,6,11,1,3,0,2,2,3,0,2,40,40,0.46078083352901444,False
37,10,4,2,0,1,0,3,1,1,1,37,22,7.380303949867503,True
38,8,7,1,1,1,1,3,2,0,2,14,22,-5.310797034805361,False
39,2,11,0,3,1,0,2,2,0,2,36,36,2.9233751780279036,False
40,8,3,1,0,1,0,4,0,1,1,40,25,2.954421627759011,True
41,0,7,0,1,0,1,1,2,0,2,11,34,-14.011790623233075,False
42,11,1,3,0,1,0,3,0,2,0,31,18,12.423165952365189,True
43,4,7,0,1,0,1,0,4,1,1,29,33,-4.1274564793992425,False
44,5,11,0,3,1,1,1,3,1,1,17,33,-9.136555328442512,False
45,3,10,0,2,0,1,1,3,0,2,28,35,-9.582669004547753,False
46,2,11,0,4,0,2,1,4,0,2,14,37,-13.164416681465696,False
47,4,6,0,0,0,1,2,2,1,1,26,37,-6.546103942324223,False
