,Unnamed: 0,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,0,11,4,3,0,2,0,3,2,0,1,40,29,5.035486845333672,True,grandmaster
1,1,11,2,2,0,1,1,4,0,2,0,36,33,-1.9918223433358195,True,grandmaster
2,2,3,11,0,3,0,2,0,4,1,1,18,41,-11.323480242351955,False,grandmaster
3,3,8,2,1,0,1,0,4,0,0,2,46,27,4.9896727091378,True,grandmaster
4,4,11,0,4,0,2,0,3,1,2,0,49,29,7.581407712798686,True,grandmaster
5,5,3,7,0,1,0,1,1,2,1,1,28,39,-5.504094159670423,False,grandmaster
6,6,4,8,0,1,0,1,2,2,1,0,15,28,-8.692979830559636,False,grandmaster
7,7,7,8,1,2,3,0,1,4,0,2,42,41,0.9788336305347728,True,grandmaster
8,8,9,2,1,0,1,0,4,0,0,1,40,25,5.899963282010951,True,grandmaster
9,9,3,9,0,1,0,2,0,4,0,2,21,28,-1.7200303895426217,False,grandmaster
10,10,10,1,1,0,1,0,3,0,1,1,21,10,6.769302051665186,True,grandmaster
11,11,10,1,2,0,1,0,3,0,2,0,30,14,11.367922916508036,True,grandmaster
12,12,7,5,1,0,0,1,2,2,1,1,25,22,-0.5003977707646428,True,grandmaster
13,13,4,8,0,1,1,1,1,4,0,2,27,29,-0.87858169465418,False,grandmaster
14,14,4,2,0,0,1,0,3,1,1,1,29,14,8.436171316869697,True,grandmaster
15,15,10,5,2,0,0,1,2,2,2,0,36,30,2.7217649558515404,True,grandmaster
16,16,10,0,2,0,1,0,2,1,1,1,33,18,9.556828119662775,True,grandmaster
17,17,9,2,2,0,1,0,1,2,1,1,34,23,7.940910662892314,True,grandmaster
18,18,4,11,0,2,0,1,0,4,0,2,24,39,-8.985941586547689,False,grandmaster
19,19,6,2,1,0,1,0,3,0,2,0,41,18,10.25531782908267,True,grandmaster
20,20,10,2,2,0,1,0,3,1,1,0,29,24,2.867667367697763,True,grandmaster
21,21,10,2,2,0,1,0,2,1,2,0,40,31,5.935832815765224,True,grandmaster
