,Unnamed: 0,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,0,5,11,0,2,0,1,1,2,2,0,35,48,-3.055200685338804,False,grandmaster
1,1,5,8,0,1,0,1,2,2,1,1,41,53,-6.2785616050701805,False,grandmaster
2,2,5,7,1,1,0,2,2,3,0,2,29,42,-6.369678160989537,False,grandmaster
3,3,8,9,1,2,2,1,2,3,2,0,28,42,-7.543135729739589,False,grandmaster
4,4,8,2,1,0,1,0,3,0,1,1,40,24,7.421462575187405,True,grandmaster
5,5,4,9,0,1,0,2,1,4,0,1,34,37,-0.4932834672624437,False,grandmaster
6,6,11,1,3,0,1,0,1,2,1,1,51,29,6.704348284218035,True,grandmaster
7,7,5,10,0,1,0,1,0,4,1,1,20,35,-8.910142091535093,False,grandmaster
8,8,4,3,0,0,0,0,3,0,1,1,21,7,10.698431439753442,True,grandmaster
9,9,8,8,1,1,1,1,2,2,0,1,43,40,-0.3216274427252159,True,grandmaster
10,10,10,1,1,0,1,0,2,1,1,1,32,14,9.765636669962532,True,grandmaster
11,11,11,1,3,0,1,0,3,0,2,0,30,13,9.820207203048945,True,grandmaster
12,12,8,2,1,0,1,0,2,2,2,0,29,26,1.3607135110603892,True,grandmaster
13,13,2,6,0,1,0,0,1,2,1,1,25,35,-1.3434991454512186,False,grandmaster
14,14,8,6,1,0,1,0,1,2,0,2,34,21,8.08751832402745,True,grandmaster
15,15,8,2,1,0,2,0,3,1,2,0,35,14,10.474401133033451,True,grandmaster
16,16,4,3,0,0,0,1,0,3,1,1,7,21,-10.973125592029184,False,grandmaster
17,17,0,9,0,2,0,1,0,3,0,2,18,30,-8.400794272273338,False,grandmaster
18,18,11,3,3,0,2,0,3,1,1,1,38,17,10.3357228579043,True,grandmaster
19,19,10,3,2,0,1,0,2,0,1,0,37,33,-1.6000228597587025,True,grandmaster
20,20,11,3,3,0,2,0,3,0,0,2,50,24,4.3544254797612325,True,grandmaster
21,21,6,6,1,1,0,1,2,2,2,0,26,19,2.2037540450942004,False,grandmaster
22,22,10,2,2,0,2,0,3,0,2,0,33,21,6.431024812074057,True,grandmaster
23,23,10,2,2,0,1,0,3,0,0,1,49,30,7.419250522450014,True,grandmaster
24,24,10,3,2,0,1,0,3,2,2,0,53,36,5.8635368241317565,True,grandmaster
25,25,7,5,2,0,1,1,4,0,0,2,32,23,3.285375108074227,True,grandmaster
26,26,6,9,0,1,1,1,3,2,0,2,32,40,-3.648329494181425,False,grandmaster
27,27,11,2,1,0,1,0,4,1,2,0,34,21,5.099622868198189,True,grandmaster
28,28,8,1,1,0,1,0,0,2,1,1,37,27,8.909392224280253,True,grandmaster
29,29,2,8,0,1,0,1,1,4,2,0,20,31,-3.687918983787952,False,grandmaster
30,30,6,11,1,3,1,1,4,1,0,2,33,42,-3.036122574282807,False,grandmaster
31,31,3,10,0,2,0,2,0,4,0,2,14,43,-10.611941436566262,False,grandmaster
32,32,9,1,1,0,1,0,3,1,2,0,38,25,4.538415794922749,True,grandmaster
33,33,4,7,0,1,0,1,0,3,1,1,24,17,1.7019905252284315,False,grandmaster
34,34,10,2,2,0,1,0,4,0,1,1,36,23,8.105278175367957,True,grandmaster
35,35,2,9,0,2,0,1,2,2,1,1,14,27,-10.4421339426464,False,grandmaster
36,36,10,7,1,1,1,1,3,3,2,0,34,37,0.5665135046247869,False,grandmaster
37,37,2,9,0,1,0,1,0,3,0,2,31,38,-4.803159551184216,False,grandmaster
38,38,1,9,0,1,0,1,1,2,0,2,32,43,-4.603027715364249,False,grandmaster
39,39,4,11,0,4,0,2,3,2,2,0,32,39,-3.971194557700549,False,grandmaster
40,40,4,9,0,1,0,2,3,1,2,0,28,43,-7.291908575288424,False,grandmaster
41,41,8,8,1,2,2,1,2,3,0,1,55,31,7.394440090242469,True,grandmaster
42,42,1,11,0,3,0,1,0,3,1,1,16,27,-9.834545899762098,False,grandmaster
43,43,2,6,0,1,0,1,0,3,2,0,19,34,-8.850503804483303,False,grandmaster
44,44,5,11,0,2,0,1,1,2,2,0,35,48,-3.055200685338804,False,grandmaster
45,45,5,8,0,1,0,1,2,2,1,1,41,53,-6.2785616050701805,False,grandmaster
46,46,5,7,1,1,0,2,2,3,0,2,29,42,-6.369678160989537,False,grandmaster
