,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win
0,1,10,0,2,0,1,1,2,1,1,10,33,-11.595614243057689,False
1,2,9,0,1,0,1,2,2,0,2,16,30,-6.250098748665231,False
2,10,4,2,0,2,0,3,1,1,1,27,24,1.9995520898894483,True
3,4,10,0,2,0,1,1,2,1,1,16,30,-6.929957083125579,False
4,3,10,0,2,0,2,1,3,1,1,21,36,-6.278717952855359,False
5,9,3,1,0,1,0,4,0,0,2,35,16,9.89213439307646,True
6,10,2,2,0,1,0,4,0,1,1,41,19,9.874422178504126,True
7,8,1,2,0,2,0,2,2,1,0,40,28,5.698818699571731,True
8,4,10,0,2,0,1,1,3,1,1,11,26,-11.841338046211007,False
9,11,4,3,0,2,0,2,1,0,2,32,22,7.647417027117108,True
10,5,3,0,0,1,0,2,1,1,1,31,19,5.415673975788131,True
11,5,3,1,0,0,0,2,0,0,1,38,13,13.940626759518075,True
12,11,0,3,0,1,0,3,0,1,1,36,22,6.443397365975272,True
13,8,4,1,0,1,0,2,0,0,2,28,25,4.708316098562733,True
14,10,4,2,0,1,0,3,0,1,1,35,26,2.397398295827273,True
15,4,6,0,1,0,2,1,3,2,0,16,35,-11.1260299886127,False
16,9,6,4,1,2,0,4,0,1,1,33,42,-6.716257235310621,False
17,11,1,3,0,1,0,4,0,2,0,40,17,11.57559421163186,True
18,10,3,1,0,1,0,3,1,2,0,43,25,8.030712810667907,True
19,9,4,1,0,1,1,3,2,1,0,33,29,7.078105342195208,True
20,10,0,3,0,1,0,2,1,1,1,35,14,10.720823042530867,True
21,5,9,0,2,0,1,0,4,1,1,28,51,-8.580497359737961,False
22,10,2,1,0,0,1,4,0,1,1,36,24,3.9939732748966534,True
23,8,4,1,0,1,0,3,2,2,0,33,33,2.176842633657955,True
24,8,3,1,0,1,0,3,0,0,2,33,14,11.161153496502365,True
25,9,0,1,0,1,0,3,0,2,0,46,31,6.426074230045245,True
26,5,10,0,1,0,2,2,2,1,1,26,35,-3.0020571014243984,False
27,2,7,0,1,0,1,3,1,0,2,10,25,-9.807453812643345,False
28,11,8,2,1,1,2,5,0,0,1,54,59,1.8426566164804967,False
29,8,3,1,0,1,0,1,3,1,1,37,41,-3.2665387765536877,True
30,5,11,0,2,0,2,3,2,1,1,32,45,-8.14959093702496,False
31,4,7,0,1,0,1,2,2,1,0,21,26,-4.698625505982292,False
32,5,7,0,0,0,2,2,2,1,1,35,44,-4.016643854501396,False
33,5,7,0,1,1,0,0,4,1,1,19,36,-10.773796823475642,False
34,10,0,1,0,2,0,4,0,1,1,25,18,0.8290582259107921,True
35,7,5,1,0,1,1,4,1,0,2,29,32,-2.511573981725469,True
36,10,6,1,1,2,0,0,4,2,0,41,27,6.970712813073149,True
37,10,2,1,0,0,1,3,0,0,2,33,27,5.331032121161925,True
38,7,6,2,2,2,0,3,3,2,0,46,37,0.7476551761415564,True
39,3,7,0,1,0,1,2,2,1,1,33,46,-5.533035712881265,False
40,1,6,0,0,0,1,1,2,0,1,23,30,-2.2363917620957565,False
41,4,9,0,1,0,1,0,3,1,1,24,42,-8.930102326649404,False
42,10,7,2,2,1,1,4,1,1,1,33,33,2.2680949680193194,True
43,9,7,1,1,2,1,4,2,1,1,47,35,2.982563694201474,True
44,0,9,0,1,0,1,3,0,0,2,25,45,-12.79423696548438,False
45,8,4,1,0,0,1,1,2,1,0,33,41,-4.6718267777742355,True
46,4,9,0,1,0,2,1,4,1,1,30,46,-7.816537797972707,False
47,9,4,1,0,2,0,5,0,0,2,35,25,6.2905818418765875,True
48,4,10,0,2,0,1,2,1,1,1,11,16,-2.558824193343277,False
