,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win
0,1,4,0,2,0,0,0,0,0,0,61,70,-1.5358087051579616,False
1,11,2,4,0,2,0,2,2,1,1,28,25,1.352333542035396,True
2,8,2,1,0,1,0,2,1,2,0,28,21,3.538420657975493,True
3,4,10,0,3,1,2,0,5,0,2,32,44,-4.82080374756346,False
4,4,8,0,1,0,1,1,1,0,2,18,27,-6.030357419877397,False
5,9,4,1,0,1,0,2,2,2,0,25,16,8.470907545927204,True
6,10,4,2,1,1,1,3,1,0,2,33,33,-3.5681963744005785,True
7,8,2,1,0,2,0,0,4,1,1,27,26,-0.9366156903101768,True
8,10,3,3,0,2,0,3,1,1,1,37,28,0.7896340786910017,True
9,1,11,0,3,0,1,2,1,0,2,13,26,-9.963968616381912,False
10,2,11,0,3,0,1,0,3,0,2,12,33,-10.169640957472893,False
11,11,2,3,0,2,0,4,0,0,2,34,22,8.821016329701678,True
12,0,9,0,2,0,1,0,3,0,2,12,16,-4.140022345377304,False
13,2,11,0,3,0,1,1,2,1,1,18,38,-9.779745712650609,False
14,2,10,0,1,0,1,1,2,1,1,14,26,-5.823297406743826,False
15,1,8,0,1,0,2,2,2,1,1,20,28,-6.021858086770543,False
16,10,5,4,0,0,2,3,3,1,1,29,32,-2.084295242304151,True
17,8,2,1,0,1,0,1,1,2,0,21,11,6.021584804654978,True
18,2,6,0,0,0,1,0,4,2,0,24,39,-10.088316958685525,False
19,11,2,1,0,1,0,3,0,2,0,34,10,11.80910397817103,True
20,9,4,1,0,1,0,3,1,0,2,26,15,7.377529649489141,True
21,9,3,1,0,0,1,2,1,1,1,27,19,3.815675532835016,True
22,6,3,2,0,1,0,2,1,1,1,21,13,6.379114183954613,True
23,10,0,2,0,2,0,4,0,2,0,24,21,0.41709125796085544,True
24,6,6,0,1,0,2,0,3,2,0,28,36,-6.238634399955849,False
25,5,10,1,2,1,1,5,0,0,2,27,28,2.3238717621667035,False
26,11,4,3,0,2,0,2,3,0,2,35,20,7.032092912010867,True
27,9,3,1,0,1,0,2,2,1,1,24,26,-2.444223199620282,True
28,1,8,0,1,0,1,1,3,1,1,20,31,-3.5571328588632696,False
29,10,0,1,0,1,0,2,1,2,0,40,16,12.41981931968813,True
30,1,11,0,2,0,2,2,2,1,1,19,39,-8.858595111652868,False
31,2,7,0,1,0,1,1,2,1,1,8,21,-9.135000179903642,False
32,8,4,1,0,1,0,2,1,1,1,23,14,8.482926400259196,True
33,11,3,3,0,3,0,3,2,2,0,30,29,0.1985597728587365,True
34,11,1,3,0,1,0,2,0,2,0,33,14,14.54852404827636,True
35,5,8,0,1,0,2,3,0,0,2,20,18,1.166494235967889,False
36,11,3,3,0,1,0,2,1,2,0,40,15,13.247677224953165,True
37,11,5,3,0,2,0,4,1,2,0,31,22,5.014257270016856,True
38,5,5,1,0,1,0,4,1,1,1,28,13,6.43184826943515,True
39,3,7,0,1,0,1,0,3,0,2,12,29,-11.012696536027079,False
40,2,4,2,2,0,0,0,0,0,0,54,54,-1.0159887433680908,False
41,2,11,0,1,0,1,1,4,0,2,21,34,-5.099622868198189,False
42,10,6,1,0,1,1,2,3,1,1,36,25,4.97957431832652,True
43,10,0,1,0,1,0,2,1,2,0,31,16,5.600641277603636,True
44,9,5,1,1,1,0,2,1,1,1,35,15,12.60086116444451,True
45,3,10,0,3,1,1,0,3,1,1,24,32,-2.2899869427552915,False
46,1,10,0,2,0,1,1,2,1,1,17,29,-4.78489765960591,False
47,0,9,0,2,0,1,0,3,1,1,15,29,-10.302724799478696,False
48,11,3,3,0,1,0,2,0,1,1,28,18,5.818949003326047,True
49,3,7,0,1,0,1,1,3,0,1,13,23,-9.16828257686899,False
50,11,2,3,0,1,0,2,2,2,0,29,25,0.13930765510546195,True
51,9,3,2,0,1,0,1,2,2,0,28,15,6.639392518610478,True
52,0,9,0,1,0,1,1,1,0,2,15,30,-10.965819524345974,False
53,1,4,0,2,0,0,0,0,0,0,61,70,-1.5358087051579616,False
54,11,2,4,0,2,0,2,2,1,1,28,25,1.352333542035396,True
55,8,2,1,0,1,0,2,1,2,0,28,21,3.538420657975493,True
56,4,10,0,3,1,2,0,5,0,2,32,44,-4.82080374756346,False
57,4,8,0,1,0,1,1,1,0,2,18,27,-6.030357419877397,False
58,9,4,1,0,1,0,2,2,2,0,25,16,8.470907545927204,True
59,10,4,2,1,1,1,3,1,0,2,33,33,-3.5681963744005785,True
60,8,2,1,0,2,0,0,4,1,1,27,26,-0.9366156903101768,True
61,10,3,3,0,2,0,3,1,1,1,37,28,0.7896340786910017,True
62,1,11,0,3,0,1,2,1,0,2,13,26,-9.963968616381912,False
63,2,11,0,3,0,1,0,3,0,2,12,33,-10.169640957472893,False
64,11,2,3,0,2,0,4,0,0,2,34,22,8.821016329701678,True
65,0,9,0,2,0,1,0,3,0,2,12,16,-4.140022345377304,False
66,2,11,0,3,0,1,1,2,1,1,18,38,-9.779745712650609,False
67,2,10,0,1,0,1,1,2,1,1,14,26,-5.823297406743826,False
68,1,8,0,1,0,2,2,2,1,1,20,28,-6.021858086770543,False
69,10,5,4,0,0,2,3,3,1,1,29,32,-2.084295242304151,True
70,8,2,1,0,1,0,1,1,2,0,21,11,6.021584804654978,True
71,2,6,0,0,0,1,0,4,2,0,24,39,-10.088316958685525,False
72,11,2,1,0,1,0,3,0,2,0,34,10,11.80910397817103,True
73,9,4,1,0,1,0,3,1,0,2,26,15,7.377529649489141,True
74,9,3,1,0,0,1,2,1,1,1,27,19,3.815675532835016,True
75,6,3,2,0,1,0,2,1,1,1,21,13,6.379114183954613,True
76,10,0,2,0,2,0,4,0,2,0,24,21,0.41709125796085544,True
77,6,6,0,1,0,2,0,3,2,0,28,36,-6.238634399955849,False
78,5,10,1,2,1,1,5,0,0,2,27,28,2.3238717621667035,False
79,11,4,3,0,2,0,2,3,0,2,35,20,7.032092912010867,True
80,9,3,1,0,1,0,2,2,1,1,24,26,-2.444223199620282,True
81,1,8,0,1,0,1,1,3,1,1,20,31,-3.5571328588632696,False
82,10,0,1,0,1,0,2,1,2,0,40,16,12.41981931968813,True
83,1,11,0,2,0,2,2,2,1,1,19,39,-8.858595111652868,False
84,2,7,0,1,0,1,1,2,1,1,8,21,-9.135000179903642,False
85,8,4,1,0,1,0,2,1,1,1,23,14,8.482926400259196,True
86,11,3,3,0,3,0,3,2,2,0,30,29,0.1985597728587365,True
87,11,1,3,0,1,0,2,0,2,0,33,14,14.54852404827636,True
88,5,8,0,1,0,2,3,0,0,2,20,18,1.166494235967889,False
