,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win
0,11,4,3,0,0,1,2,2,0,2,30,30,1.8550931889816553,True
1,3,8,0,1,0,1,2,2,1,1,16,25,-3.4900751719720233,False
2,11,1,3,0,1,0,3,1,2,0,38,23,4.933725228160753,True
3,7,2,1,0,1,0,3,0,2,0,19,11,9.594236454459725,True
4,10,7,2,2,1,1,4,1,0,2,42,27,7.803515174638925,True
5,8,1,1,0,1,0,2,0,2,0,36,24,5.464849814894549,True
6,2,7,0,1,0,1,2,1,1,1,21,34,-8.446487738150907,False
7,9,7,1,3,3,0,3,3,2,0,49,32,3.8473970885101068,True
8,9,2,2,0,1,0,2,1,2,0,38,24,8.771922704288386,True
9,10,2,3,0,2,0,4,0,2,0,46,25,5.2362753186160305,True
10,11,2,3,0,2,0,3,1,1,1,29,22,2.4336342602306686,True
11,1,10,0,2,0,1,0,3,1,1,17,39,-5.797579082300388,False
12,2,10,0,2,0,1,0,4,0,2,23,38,-8.16011426256972,False
13,3,8,0,1,0,1,0,4,0,2,22,36,-6.736643916066903,False
14,0,11,0,2,0,1,1,1,0,2,17,35,-7.475366759098627,False
15,11,1,3,0,1,0,1,2,1,1,51,29,6.704348284218035,True
16,11,4,3,0,2,0,1,2,0,2,43,28,4.3344493651814275,True
17,0,10,0,2,0,1,1,2,0,2,6,34,-17.33199543442938,False
18,9,6,2,0,1,1,2,1,0,2,29,21,4.266012375881303,True
19,0,9,0,2,0,1,0,4,1,1,15,28,-9.28574361601666,False
20,8,7,1,1,2,0,3,2,2,0,43,34,2.48912905981706,True
21,6,10,0,2,1,1,4,0,0,2,25,31,-1.2372417675367942,False
22,5,8,0,3,0,2,2,3,2,0,34,57,-5.1307555917870715,False
23,2,9,0,2,0,1,1,2,0,2,16,34,-7.7567251856233455,False
24,5,1,0,0,0,0,3,0,2,0,25,14,7.321472128918721,True
25,9,1,2,0,1,0,2,1,2,0,29,12,13.668891608941035,True
26,2,10,0,2,0,1,0,4,0,2,18,34,-6.364781383910383,False
27,3,8,0,1,0,1,3,1,1,1,20,22,-1.1340766994047229,False
28,5,4,0,0,0,2,1,4,2,0,27,34,-0.25977199690681374,False
