,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win
0,3,11,0,4,0,2,1,4,0,1,52,61,-7.26070745011247,False
1,8,5,1,0,1,0,4,0,0,1,37,55,-3.545942888049545,True
2,6,3,2,0,0,1,2,2,0,1,41,26,3.4658836413742122,True
3,8,11,1,3,2,1,5,1,1,1,32,41,-2.313551042925255,False
4,3,2,0,0,0,0,3,0,2,0,28,14,5.536705692533836,True
5,4,4,0,0,1,0,3,1,0,2,40,25,6.065854351640951,True
6,4,10,0,2,0,1,1,3,0,2,17,22,-2.4246705978593823,False
7,4,8,0,1,0,1,0,4,0,2,20,47,-11.23019640701186,False
8,2,7,0,1,0,1,0,3,0,2,11,19,-9.594236454459725,False
9,2,4,0,0,0,0,1,2,1,1,31,18,4.397701649713589,True
10,4,4,0,0,0,0,2,1,1,1,28,22,4.03502973632321,True
11,5,11,0,3,0,2,0,4,0,1,30,27,-3.428633539780016,False
12,7,6,1,1,2,0,2,2,1,0,37,26,4.082066508991268,True
13,7,2,1,0,1,0,1,2,1,1,34,21,8.446487738150907,True
14,3,7,0,1,0,0,2,2,1,1,17,24,-2.1417497579252824,False
15,8,3,1,0,1,0,1,3,1,1,35,15,11.141871251026544,True
16,7,8,1,1,2,1,3,3,0,2,40,31,1.0934073697783617,True
17,2,9,0,2,0,1,0,3,1,1,13,28,-9.720353462941496,False
18,2,11,0,3,0,1,0,3,0,2,21,37,-5.059918228858493,False
19,10,1,2,0,1,0,3,1,1,1,36,21,7.014871457050305,True
20,8,4,1,0,1,1,3,1,0,2,30,23,4.8710305679571775,True
21,5,1,1,0,0,0,4,0,0,2,27,13,10.567597850925203,True
22,3,7,0,1,0,1,2,1,1,1,34,42,-8.46832807443613,False
23,4,1,0,0,1,0,4,0,2,0,28,26,2.1254153617592095,True
24,10,3,2,0,1,0,3,1,1,1,31,24,1.458832391378742,True
25,8,5,1,0,2,0,0,4,1,1,28,18,6.954177308191696,True
26,3,10,0,2,0,1,1,2,0,2,23,43,-9.79127512092996,False
27,1,10,0,1,0,1,0,4,1,1,23,34,-3.1566559383110757,False
28,1,10,0,2,1,0,0,3,0,2,21,40,-6.697173793972702,False
29,3,9,0,1,1,1,2,3,1,1,23,39,-4.555355973579061,False
30,7,11,0,3,0,2,1,4,2,0,17,33,-8.98687100627604,False
31,6,2,1,0,0,0,2,1,1,1,35,25,1.3434991454512186,True
32,11,3,4,0,1,0,3,1,1,1,24,19,2.9260663600745644,True
33,9,4,2,0,1,1,3,2,2,0,49,33,4.714581493634228,True
34,4,5,0,0,0,1,0,3,0,2,10,27,-10.378412834161686,False
35,10,1,2,0,1,0,2,2,1,0,48,20,11.81806515043877,True
36,10,3,2,0,2,0,4,1,1,1,37,30,3.8387714644978885,True
37,2,6,0,0,0,1,1,2,0,1,14,20,-6.951183513998387,False
38,4,11,0,2,0,1,1,3,0,2,16,25,-11.316949499648302,False
39,9,3,2,0,2,1,3,1,2,0,39,29,2.1591991302651365,True
40,8,7,1,0,1,0,2,1,0,2,35,29,2.306641425540903,True
41,2,11,0,3,0,1,0,3,1,1,25,44,-7.153219759966774,False
42,2,10,0,1,1,0,0,4,1,1,30,37,-3.845410512012741,False
43,8,5,1,0,1,0,1,3,1,1,32,26,4.437734437532406,True
44,5,1,0,0,1,0,2,0,2,0,31,17,9.426112339074308,True
45,3,10,0,2,0,2,2,1,0,2,17,37,-8.889425103154238,False
46,2,7,0,0,0,1,1,2,0,2,15,28,-7.749553861623461,False
47,8,4,1,0,1,0,2,1,1,1,29,11,10.895690791327432,True
48,10,2,2,0,1,0,2,1,2,0,51,21,11.604379911286017,True
49,2,9,0,3,0,2,1,2,0,2,19,26,-2.673415476939603,False
50,9,3,1,0,1,0,4,1,1,1,37,26,2.9563154877598095,True
51,8,6,1,0,1,0,1,2,0,2,34,21,8.08751832402745,True
52,7,5,1,0,1,0,3,0,1,1,30,21,3.9883532097404313,True
53,4,11,1,4,0,2,1,4,0,2,17,35,-7.5805980581767685,False
54,4,9,0,2,1,0,0,4,0,2,21,27,-4.7894917023140025,False
55,2,11,0,4,0,1,0,4,1,1,23,41,-8.786659408759405,False
56,10,2,1,0,1,0,4,0,2,0,32,18,4.898706967036759,True
57,3,11,0,4,0,2,1,4,0,1,52,61,-7.26070745011247,False
58,8,5,1,0,1,0,4,0,0,1,37,55,-3.545942888049545,True
59,6,3,2,0,0,1,2,2,0,1,41,26,3.4658836413742122,True
60,8,11,1,3,2,1,5,1,1,1,32,41,-2.313551042925255,False
61,3,2,0,0,0,0,3,0,2,0,28,14,5.536705692533836,True
62,4,4,0,0,1,0,3,1,0,2,40,25,6.065854351640951,True
63,4,10,0,2,0,1,1,3,0,2,17,22,-2.4246705978593823,False
64,4,8,0,1,0,1,0,4,0,2,20,47,-11.23019640701186,False
65,2,7,0,1,0,1,0,3,0,2,11,19,-9.594236454459725,False
66,2,4,0,0,0,0,1,2,1,1,31,18,4.397701649713589,True
67,4,4,0,0,0,0,2,1,1,1,28,22,4.03502973632321,True
68,5,11,0,3,0,2,0,4,0,1,30,27,-3.428633539780016,False
69,7,6,1,1,2,0,2,2,1,0,37,26,4.082066508991268,True
70,7,2,1,0,1,0,1,2,1,1,34,21,8.446487738150907,True
71,3,7,0,1,0,0,2,2,1,1,17,24,-2.1417497579252824,False
72,8,3,1,0,1,0,1,3,1,1,35,15,11.141871251026544,True
73,7,8,1,1,2,1,3,3,0,2,40,31,1.0934073697783617,True
74,2,9,0,2,0,1,0,3,1,1,13,28,-9.720353462941496,False
75,2,11,0,3,0,1,0,3,0,2,21,37,-5.059918228858493,False
76,10,1,2,0,1,0,3,1,1,1,36,21,7.014871457050305,True
77,8,4,1,0,1,1,3,1,0,2,30,23,4.8710305679571775,True
78,5,1,1,0,0,0,4,0,0,2,27,13,10.567597850925203,True
79,3,7,0,1,0,1,2,1,1,1,34,42,-8.46832807443613,False
80,4,1,0,0,1,0,4,0,2,0,28,26,2.1254153617592095,True
81,10,3,2,0,1,0,3,1,1,1,31,24,1.458832391378742,True
82,8,5,1,0,2,0,0,4,1,1,28,18,6.954177308191696,True
83,3,10,0,2,0,1,1,2,0,2,23,43,-9.79127512092996,False
84,1,10,0,1,0,1,0,4,1,1,23,34,-3.1566559383110757,False
85,1,10,0,2,1,0,0,3,0,2,21,40,-6.697173793972702,False
86,3,9,0,1,1,1,2,3,1,1,23,39,-4.555355973579061,False
87,7,11,0,3,0,2,1,4,2,0,17,33,-8.98687100627604,False
88,6,2,1,0,0,0,2,1,1,1,35,25,1.3434991454512186,True
89,11,3,4,0,1,0,3,1,1,1,24,19,2.9260663600745644,True
90,9,4,2,0,1,1,3,2,2,0,49,33,4.714581493634228,True
91,4,5,0,0,0,1,0,3,0,2,10,27,-10.378412834161686,False
92,10,1,2,0,1,0,2,2,1,0,48,20,11.81806515043877,True
93,10,3,2,0,2,0,4,1,1,1,37,30,3.8387714644978885,True
94,2,6,0,0,0,1,1,2,0,1,14,20,-6.951183513998387,False
95,4,11,0,2,0,1,1,3,0,2,16,25,-11.316949499648302,False
96,9,3,2,0,2,1,3,1,2,0,39,29,2.1591991302651365,True
97,8,7,1,0,1,0,2,1,0,2,35,29,2.306641425540903,True
98,2,11,0,3,0,1,0,3,1,1,25,44,-7.153219759966774,False
99,2,10,0,1,1,0,0,4,1,1,30,37,-3.845410512012741,False
100,8,5,1,0,1,0,1,3,1,1,32,26,4.437734437532406,True
101,5,1,0,0,1,0,2,0,2,0,31,17,9.426112339074308,True
102,3,10,0,2,0,2,2,1,0,2,17,37,-8.889425103154238,False
103,2,7,0,0,0,1,1,2,0,2,15,28,-7.749553861623461,False
104,8,4,1,0,1,0,2,1,1,1,29,11,10.895690791327432,True
105,10,2,2,0,1,0,2,1,2,0,51,21,11.604379911286017,True
106,2,9,0,3,0,2,1,2,0,2,19,26,-2.673415476939603,False
107,9,3,1,0,1,0,4,1,1,1,37,26,2.9563154877598095,True
108,8,6,1,0,1,0,1,2,0,2,34,21,8.08751832402745,True
109,7,5,1,0,1,0,3,0,1,1,30,21,3.9883532097404313,True
110,4,11,1,4,0,2,1,4,0,2,17,35,-7.5805980581767685,False
111,4,9,0,2,1,0,0,4,0,2,21,27,-4.7894917023140025,False
112,2,11,0,4,0,1,0,4,1,1,23,41,-8.786659408759405,False
113,10,2,1,0,1,0,4,0,2,0,32,18,4.898706967036759,True
114,3,11,0,4,0,2,1,4,0,1,52,61,-7.26070745011247,False
115,8,5,1,0,1,0,4,0,0,1,37,55,-3.545942888049545,True
116,6,3,2,0,0,1,2,2,0,1,41,26,3.4658836413742122,True
117,8,11,1,3,2,1,5,1,1,1,32,41,-2.313551042925255,False
118,3,2,0,0,0,0,3,0,2,0,28,14,5.536705692533836,True
119,4,4,0,0,1,0,3,1,0,2,40,25,6.065854351640951,True
120,4,10,0,2,0,1,1,3,0,2,17,22,-2.4246705978593823,False
121,4,8,0,1,0,1,0,4,0,2,20,47,-11.23019640701186,False
