,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win
0,8,0,1,0,0,1,3,0,2,0,27,15,6.828775316254912,True
1,2,10,0,2,0,1,1,3,1,1,11,29,-12.094872949587504,False
2,11,1,4,0,1,0,4,0,2,0,23,14,5.436599979143303,True
3,2,11,0,3,0,1,0,3,1,1,33,47,-4.788048428694829,False
4,2,10,0,2,0,1,1,2,0,2,31,44,-5.795313427685393,False
5,10,3,1,0,1,0,2,1,1,1,31,20,5.544802330396031,True
6,11,0,3,0,1,0,3,1,2,0,34,19,7.209882432076462,True
7,9,3,1,0,1,0,3,1,1,1,43,28,9.304070099726232,True
8,1,10,0,2,0,2,0,4,1,1,19,32,-6.869652304985117,False
9,5,9,0,1,0,1,2,3,0,2,23,30,-2.0787836872102545,False
10,6,9,0,2,1,2,2,3,2,0,45,48,2.090032214580276,False
11,11,1,3,0,0,1,3,2,1,1,40,30,4.650353060418539,True
12,11,0,2,0,1,0,2,0,2,0,32,16,9.812624405019832,True
13,10,1,2,0,1,0,2,0,2,0,35,10,14.622128919109976,True
14,3,10,0,2,0,1,0,4,0,2,16,34,-13.197651815530975,False
15,2,8,0,2,0,1,1,2,0,2,15,30,-10.206189495825356,False
16,8,5,1,0,1,0,1,2,1,1,29,29,0.7404703510931938,True
17,7,2,1,0,0,0,2,1,1,1,31,18,6.420854751485393,True
18,1,10,0,2,0,1,0,4,1,1,22,49,-14.395224128146225,False
19,4,8,0,2,0,1,1,3,2,0,13,30,-10.201713088090735,False
20,3,11,0,2,0,1,2,1,0,2,25,31,-0.6724042126823448,False
21,6,10,1,2,0,2,1,4,0,1,38,46,-1.7597257853514705,False
22,1,10,0,2,0,1,1,2,0,2,17,22,-7.394491338557806,False
23,6,7,0,2,2,1,4,1,0,2,37,39,-0.910452442386628,False
24,1,9,0,2,0,1,0,4,1,1,9,30,-13.396783491815867,False
25,9,2,1,0,1,0,2,2,2,0,46,31,3.307913082673686,True
26,4,8,0,1,0,1,2,1,0,2,28,30,-4.282889445901972,False
27,11,1,4,0,1,0,3,1,2,0,38,23,6.26238818134577,True
28,1,11,0,2,0,1,1,3,1,1,12,35,-12.597056227366167,False
29,9,5,3,0,2,0,3,1,1,1,33,32,2.386280346010359,True
30,7,2,0,0,1,0,1,2,1,1,28,28,1.2060339182543558,True
31,9,3,1,0,1,0,1,3,2,0,43,35,-1.0965082172956713,True
32,10,3,2,0,1,0,3,1,1,1,41,18,10.585944758973895,True
33,5,10,0,2,0,1,1,2,2,0,32,38,-3.4734360878630213,False
34,9,1,1,0,1,0,3,0,2,0,26,19,8.388906665863466,True
35,5,9,0,2,0,1,2,3,2,0,29,44,-5.905820960781178,False
36,5,0,0,0,1,0,2,1,2,0,38,21,7.4973722369477045,True
37,0,7,0,1,0,1,1,2,0,2,26,29,-1.429399985965098,False
38,6,8,1,1,0,1,0,3,1,1,23,30,-5.026028742862067,False
39,8,4,1,0,1,0,2,2,0,2,27,22,4.025838523580617,True
40,9,1,2,0,0,2,5,0,2,0,29,14,4.820654021558802,True
41,7,0,1,0,1,0,2,1,1,1,36,20,8.161283348456841,True
42,9,3,2,0,1,0,3,1,1,1,39,39,2.329855919810001,True
43,10,1,2,0,1,0,3,1,1,1,27,20,6.445304111178018,True
44,7,4,1,0,1,0,1,3,0,2,46,30,6.341633977947673,True
45,7,8,1,1,0,2,2,3,0,2,25,36,-1.1424838387785243,False
46,9,4,1,0,1,1,3,2,1,1,34,27,2.3561978417795473,True
47,3,10,0,2,0,1,1,2,1,1,12,30,-13.784017447953417,False
48,6,2,1,0,1,0,2,2,2,0,30,17,6.457393583589777,True
49,11,4,4,0,1,1,5,0,2,0,45,28,5.716302468088905,True
50,9,3,2,0,0,1,1,2,2,0,48,24,6.989220685380168,True
51,4,8,0,1,1,1,1,2,1,1,37,43,-4.87387000612086,False
52,3,10,0,1,0,1,0,4,1,1,13,33,-10.998964949313056,False
53,1,11,0,3,0,1,0,3,1,1,13,26,-11.926354547614274,False
54,10,2,2,0,1,0,2,2,1,1,37,31,1.8189111858624045,True
55,10,2,2,0,1,1,3,1,2,0,43,24,8.827427035460438,True
56,6,11,0,6,1,2,1,3,1,1,25,31,-2.3929505347977127,False
57,8,4,1,0,1,1,0,4,1,1,31,31,1.6767934592809581,True
58,3,10,0,2,0,1,0,4,1,1,16,34,-7.830413196500878,False
59,7,6,1,0,1,0,2,0,0,2,32,29,3.499055062575927,True
60,3,11,0,2,0,1,1,3,1,1,24,32,-4.8939176430842295,False
61,7,0,2,0,1,0,3,0,1,1,39,17,11.93790798684985,True
62,7,2,1,0,1,0,3,1,1,1,36,24,8.172573513821177,True
63,10,2,2,0,2,0,2,2,0,2,49,23,7.449372011168322,True
64,11,3,1,0,1,1,4,1,2,0,48,31,7.5948309918977515,True
65,8,0,1,0,0,1,3,0,2,0,27,15,6.828775316254912,True
66,2,10,0,2,0,1,1,3,1,1,11,29,-12.094872949587504,False
67,11,1,4,0,1,0,4,0,2,0,23,14,5.436599979143303,True
68,2,11,0,3,0,1,0,3,1,1,33,47,-4.788048428694829,False
69,2,10,0,2,0,1,1,2,0,2,31,44,-5.795313427685393,False
70,10,3,1,0,1,0,2,1,1,1,31,20,5.544802330396031,True
71,11,0,3,0,1,0,3,1,2,0,34,19,7.209882432076462,True
72,9,3,1,0,1,0,3,1,1,1,43,28,9.304070099726232,True
73,1,10,0,2,0,2,0,4,1,1,19,32,-6.869652304985117,False
74,5,9,0,1,0,1,2,3,0,2,23,30,-2.0787836872102545,False
75,6,9,0,2,1,2,2,3,2,0,45,48,2.090032214580276,False
76,11,1,3,0,0,1,3,2,1,1,40,30,4.650353060418539,True
77,11,0,2,0,1,0,2,0,2,0,32,16,9.812624405019832,True
78,10,1,2,0,1,0,2,0,2,0,35,10,14.622128919109976,True
79,3,10,0,2,0,1,0,4,0,2,16,34,-13.197651815530975,False
80,2,8,0,2,0,1,1,2,0,2,15,30,-10.206189495825356,False
81,8,5,1,0,1,0,1,2,1,1,29,29,0.7404703510931938,True
82,7,2,1,0,0,0,2,1,1,1,31,18,6.420854751485393,True
83,1,10,0,2,0,1,0,4,1,1,22,49,-14.395224128146225,False
84,4,8,0,2,0,1,1,3,2,0,13,30,-10.201713088090735,False
85,3,11,0,2,0,1,2,1,0,2,25,31,-0.6724042126823448,False
86,6,10,1,2,0,2,1,4,0,1,38,46,-1.7597257853514705,False
87,1,10,0,2,0,1,1,2,0,2,17,22,-7.394491338557806,False
88,6,7,0,2,2,1,4,1,0,2,37,39,-0.910452442386628,False
89,1,9,0,2,0,1,0,4,1,1,9,30,-13.396783491815867,False
90,9,2,1,0,1,0,2,2,2,0,46,31,3.307913082673686,True
91,4,8,0,1,0,1,2,1,0,2,28,30,-4.282889445901972,False
92,11,1,4,0,1,0,3,1,2,0,38,23,6.26238818134577,True
93,1,11,0,2,0,1,1,3,1,1,12,35,-12.597056227366167,False
94,9,5,3,0,2,0,3,1,1,1,33,32,2.386280346010359,True
95,7,2,0,0,1,0,1,2,1,1,28,28,1.2060339182543558,True
96,9,3,1,0,1,0,1,3,2,0,43,35,-1.0965082172956713,True
97,10,3,2,0,1,0,3,1,1,1,41,18,10.585944758973895,True
98,5,10,0,2,0,1,1,2,2,0,32,38,-3.4734360878630213,False
99,9,1,1,0,1,0,3,0,2,0,26,19,8.388906665863466,True
100,5,9,0,2,0,1,2,3,2,0,29,44,-5.905820960781178,False
101,5,0,0,0,1,0,2,1,2,0,38,21,7.4973722369477045,True
102,0,7,0,1,0,1,1,2,0,2,26,29,-1.429399985965098,False
103,6,8,1,1,0,1,0,3,1,1,23,30,-5.026028742862067,False
104,8,4,1,0,1,0,2,2,0,2,27,22,4.025838523580617,True
105,9,1,2,0,0,2,5,0,2,0,29,14,4.820654021558802,True
106,7,0,1,0,1,0,2,1,1,1,36,20,8.161283348456841,True
107,9,3,2,0,1,0,3,1,1,1,39,39,2.329855919810001,True
108,10,1,2,0,1,0,3,1,1,1,27,20,6.445304111178018,True
109,7,4,1,0,1,0,1,3,0,2,46,30,6.341633977947673,True
110,7,8,1,1,0,2,2,3,0,2,25,36,-1.1424838387785243,False
111,9,4,1,0,1,1,3,2,1,1,34,27,2.3561978417795473,True
112,3,10,0,2,0,1,1,2,1,1,12,30,-13.784017447953417,False
113,6,2,1,0,1,0,2,2,2,0,30,17,6.457393583589777,True
114,11,4,4,0,1,1,5,0,2,0,45,28,5.716302468088905,True
115,9,3,2,0,0,1,1,2,2,0,48,24,6.989220685380168,True
116,4,8,0,1,1,1,1,2,1,1,37,43,-4.87387000612086,False
117,3,10,0,1,0,1,0,4,1,1,13,33,-10.998964949313056,False
118,1,11,0,3,0,1,0,3,1,1,13,26,-11.926354547614274,False
119,10,2,2,0,1,0,2,2,1,1,37,31,1.8189111858624045,True
120,10,2,2,0,1,1,3,1,2,0,43,24,8.827427035460438,True
121,6,11,0,6,1,2,1,3,1,1,25,31,-2.3929505347977127,False
122,8,4,1,0,1,1,0,4,1,1,31,31,1.6767934592809581,True
123,3,10,0,2,0,1,0,4,1,1,16,34,-7.830413196500878,False
124,7,6,1,0,1,0,2,0,0,2,32,29,3.499055062575927,True
125,3,11,0,2,0,1,1,3,1,1,24,32,-4.8939176430842295,False
126,7,0,2,0,1,0,3,0,1,1,39,17,11.93790798684985,True
127,7,2,1,0,1,0,3,1,1,1,36,24,8.172573513821177,True
128,10,2,2,0,2,0,2,2,0,2,49,23,7.449372011168322,True
129,11,3,1,0,1,1,4,1,2,0,48,31,7.5948309918977515,True
130,8,0,1,0,0,1,3,0,2,0,27,15,6.828775316254912,True
131,2,10,0,2,0,1,1,3,1,1,11,29,-12.094872949587504,False
132,11,1,4,0,1,0,4,0,2,0,23,14,5.436599979143303,True
133,2,11,0,3,0,1,0,3,1,1,33,47,-4.788048428694829,False
134,2,10,0,2,0,1,1,2,0,2,31,44,-5.795313427685393,False
135,10,3,1,0,1,0,2,1,1,1,31,20,5.544802330396031,True
136,11,0,3,0,1,0,3,1,2,0,34,19,7.209882432076462,True
137,9,3,1,0,1,0,3,1,1,1,43,28,9.304070099726232,True
138,1,10,0,2,0,2,0,4,1,1,19,32,-6.869652304985117,False
139,5,9,0,1,0,1,2,3,0,2,23,30,-2.0787836872102545,False
140,6,9,0,2,1,2,2,3,2,0,45,48,2.090032214580276,False
141,11,1,3,0,0,1,3,2,1,1,40,30,4.650353060418539,True
142,11,0,2,0,1,0,2,0,2,0,32,16,9.812624405019832,True
143,10,1,2,0,1,0,2,0,2,0,35,10,14.622128919109976,True
144,3,10,0,2,0,1,0,4,0,2,16,34,-13.197651815530975,False
145,2,8,0,2,0,1,1,2,0,2,15,30,-10.206189495825356,False
146,8,5,1,0,1,0,1,2,1,1,29,29,0.7404703510931938,True
147,7,2,1,0,0,0,2,1,1,1,31,18,6.420854751485393,True
148,1,10,0,2,0,1,0,4,1,1,22,49,-14.395224128146225,False
149,4,8,0,2,0,1,1,3,2,0,13,30,-10.201713088090735,False
150,3,11,0,2,0,1,2,1,0,2,25,31,-0.6724042126823448,False
151,6,10,1,2,0,2,1,4,0,1,38,46,-1.7597257853514705,False
152,1,10,0,2,0,1,1,2,0,2,17,22,-7.394491338557806,False
153,6,7,0,2,2,1,4,1,0,2,37,39,-0.910452442386628,False
154,1,9,0,2,0,1,0,4,1,1,9,30,-13.396783491815867,False
155,9,2,1,0,1,0,2,2,2,0,46,31,3.307913082673686,True
156,4,8,0,1,0,1,2,1,0,2,28,30,-4.282889445901972,False
157,11,1,4,0,1,0,3,1,2,0,38,23,6.26238818134577,True
158,1,11,0,2,0,1,1,3,1,1,12,35,-12.597056227366167,False
159,9,5,3,0,2,0,3,1,1,1,33,32,2.386280346010359,True
160,7,2,0,0,1,0,1,2,1,1,28,28,1.2060339182543558,True
161,9,3,1,0,1,0,1,3,2,0,43,35,-1.0965082172956713,True
162,10,3,2,0,1,0,3,1,1,1,41,18,10.585944758973895,True
163,5,10,0,2,0,1,1,2,2,0,32,38,-3.4734360878630213,False
164,9,1,1,0,1,0,3,0,2,0,26,19,8.388906665863466,True
165,5,9,0,2,0,1,2,3,2,0,29,44,-5.905820960781178,False
166,5,0,0,0,1,0,2,1,2,0,38,21,7.4973722369477045,True
167,0,7,0,1,0,1,1,2,0,2,26,29,-1.429399985965098,False
168,6,8,1,1,0,1,0,3,1,1,23,30,-5.026028742862067,False
169,8,4,1,0,1,0,2,2,0,2,27,22,4.025838523580617,True
170,9,1,2,0,0,2,5,0,2,0,29,14,4.820654021558802,True
171,7,0,1,0,1,0,2,1,1,1,36,20,8.161283348456841,True
172,9,3,2,0,1,0,3,1,1,1,39,39,2.329855919810001,True
173,10,1,2,0,1,0,3,1,1,1,27,20,6.445304111178018,True
174,7,4,1,0,1,0,1,3,0,2,46,30,6.341633977947673,True
175,7,8,1,1,0,2,2,3,0,2,25,36,-1.1424838387785243,False
176,9,4,1,0,1,1,3,2,1,1,34,27,2.3561978417795473,True
177,3,10,0,2,0,1,1,2,1,1,12,30,-13.784017447953417,False
178,6,2,1,0,1,0,2,2,2,0,30,17,6.457393583589777,True
179,11,4,4,0,1,1,5,0,2,0,45,28,5.716302468088905,True
180,9,3,2,0,0,1,1,2,2,0,48,24,6.989220685380168,True
181,4,8,0,1,1,1,1,2,1,1,37,43,-4.87387000612086,False
182,3,10,0,1,0,1,0,4,1,1,13,33,-10.998964949313056,False
183,1,11,0,3,0,1,0,3,1,1,13,26,-11.926354547614274,False
184,10,2,2,0,1,0,2,2,1,1,37,31,1.8189111858624045,True
185,10,2,2,0,1,1,3,1,2,0,43,24,8.827427035460438,True
186,6,11,0,6,1,2,1,3,1,1,25,31,-2.3929505347977127,False
187,8,4,1,0,1,1,0,4,1,1,31,31,1.6767934592809581,True
188,3,10,0,2,0,1,0,4,1,1,16,34,-7.830413196500878,False
189,7,6,1,0,1,0,2,0,0,2,32,29,3.499055062575927,True
190,3,11,0,2,0,1,1,3,1,1,24,32,-4.8939176430842295,False
191,7,0,2,0,1,0,3,0,1,1,39,17,11.93790798684985,True
192,7,2,1,0,1,0,3,1,1,1,36,24,8.172573513821177,True
193,10,2,2,0,2,0,2,2,0,2,49,23,7.449372011168322,True
194,11,3,1,0,1,1,4,1,2,0,48,31,7.5948309918977515,True
195,8,0,1,0,0,1,3,0,2,0,27,15,6.828775316254912,True
196,2,10,0,2,0,1,1,3,1,1,11,29,-12.094872949587504,False
197,11,1,4,0,1,0,4,0,2,0,23,14,5.436599979143303,True
198,2,11,0,3,0,1,0,3,1,1,33,47,-4.788048428694829,False
199,2,10,0,2,0,1,1,2,0,2,31,44,-5.795313427685393,False
200,10,3,1,0,1,0,2,1,1,1,31,20,5.544802330396031,True
201,11,0,3,0,1,0,3,1,2,0,34,19,7.209882432076462,True
202,9,3,1,0,1,0,3,1,1,1,43,28,9.304070099726232,True
203,1,10,0,2,0,2,0,4,1,1,19,32,-6.869652304985117,False
204,5,9,0,1,0,1,2,3,0,2,23,30,-2.0787836872102545,False
205,6,9,0,2,1,2,2,3,2,0,45,48,2.090032214580276,False
206,11,1,3,0,0,1,3,2,1,1,40,30,4.650353060418539,True
207,11,0,2,0,1,0,2,0,2,0,32,16,9.812624405019832,True
208,10,1,2,0,1,0,2,0,2,0,35,10,14.622128919109976,True
209,3,10,0,2,0,1,0,4,0,2,16,34,-13.197651815530975,False
210,2,8,0,2,0,1,1,2,0,2,15,30,-10.206189495825356,False
211,8,5,1,0,1,0,1,2,1,1,29,29,0.7404703510931938,True
212,7,2,1,0,0,0,2,1,1,1,31,18,6.420854751485393,True
