,Unnamed: 0,acesBefore15Minutes,assists,baronTakedowns,bountyGold,champExperience,championId,damagePerMinute,deaths,doubleAces,earlyLaningPhaseGoldExpAdvantage ,firstTowerKill,firstTurretKilled,gameLength,inhibitorKills,kda,killParticipation,kills,landSkillShotsEarlyGame ,lane,longestTimeSpentLiving,maxCsAdvantageOnLaneOpponent,maxKillDeficit,maxLevelLeadLaneOpponent,multikills,score,score_diff,soloKills,takedowns,teamBaronKills,turretKills,turretPlatesTaken,turretTakedowns,turretsLost,win
127,127,0,6,0,150,11464,50,903.838404435783,8,0,,False,0,1676.1214419,0,1.375,0.4782608695652174,5,,MIDDLE,567,2.0,0,1,1,7.7818475494719905,-9.79127512092996,1,11,0,0,0,0,10,False
285,285,0,3,0,150,13560,134,971.9718069752626,3,0,,False,0,1570.3170558,0,3.333333333333333,0.4,7,,MIDDLE,1245,65.0,0,3,0,9.804033970276008,-0.4950322784927081,6,10,0,2,3,2,9,False
96,96,0,9,2,300,28227,18,1280.37178991598,4,0,,False,0,2233.211874,1,7.25,0.6590909090909091,20,,MIDDLE,770,152.80000001192093,3,4,5,10.0,6.568468237736283,5,29,2,7,6,9,5,True
144,144,0,11,3,450,24979,200,713.2643179131901,3,0,,False,1,2411.3420714,1,6.333333333333333,0.6333333333333333,8,,JUNGLE,828,121.70000019669531,7,3,1,9.182634987077984,0.1985597728587365,1,19,3,2,2,3,3,True
83,83,0,3,0,0,6995,111,230.0265371214869,7,0,,False,0,1468.1824626,0,0.5714285714285714,0.4444444444444444,1,,BOTTOM,384,3.0,0,1,0,4.646278270522068,-12.317517664627792,0,4,0,0,0,0,10,False
410,410,0,5,0,750,11437,81,1032.1359201916566,5,0,,False,0,1655.7251093999998,0,2.6,0.8125,8,,BOTTOM,413,22.00000002980232,0,1,0,10.0,-7.7567251856233455,0,13,0,1,0,1,9,False
287,287,0,6,1,750,21897,887,1008.2609194560264,7,0,,False,1,2245.7033474,0,2.7142857142857144,0.3877551020408163,13,,TOP,646,124.00000005960464,2,4,2,9.768221217343974,1.4629834831127226,5,19,2,6,6,6,5,True
16,16,0,16,0,150,11905,50,1286.305974607634,1,0,,False,1,1442.4328555,0,27.0,0.7714285714285715,11,,BOTTOM,798,11.0,4,2,3,10.0,1.3434991454512186,1,27,0,2,2,3,2,True
6,6,1,15,1,150,12169,221,1131.08369249486,7,0,,False,1,1540.6174079999998,1,4.571428571428571,0.6274509803921569,17,,BOTTOM,570,104.60000011324884,2,3,5,9.933544750727396,6.704348284218035,2,32,1,2,9,5,1,True
371,371,0,5,0,300,12825,50,376.6115997551191,5,0,,False,0,1612.4010151999998,0,1.6,0.5,3,,BOTTOM,895,17.0,0,2,0,7.860640985033124,-11.316949499648302,1,8,0,0,1,0,11,False
184,184,0,8,1,150,12951,200,362.9184358000432,1,0,,False,1,1564.9045055,1,12.0,0.5714285714285714,4,,JUNGLE,505,10.300000041723251,2,1,1,8.58921494705447,6.021584804654978,0,12,1,1,2,4,2,True
174,174,0,16,1,0,11281,50,554.2446935186098,4,0,,False,0,1601.4013900999998,0,5.75,0.6571428571428571,7,,BOTTOM,830,1.0,1,1,2,9.379069473148563,11.141871251026544,0,23,1,0,0,5,3,True
25,25,0,2,0,0,16758,114,671.9954723851507,4,0,,False,0,1667.2261116,1,2.25,0.3333333333333333,7,,TOP,822,58.0,4,3,1,9.340347033662942,-0.9348737677715278,4,9,1,5,4,5,3,True
419,419,0,17,3,300,21414,221,1174.607560419029,10,0,,False,1,2251.8409912,2,3.2,0.6153846153846154,15,,BOTTOM,542,89.80000013113022,1,3,2,10.0,1.6542319822044718,1,32,3,3,3,5,5,True
184,184,0,20,1,0,12871,111,281.32714467763947,7,0,,False,1,2096.7559179,0,3.142857142857143,0.5789473684210527,2,,BOTTOM,652,14.0,6,2,0,6.959847477534172,2.4855737743161868,0,22,1,1,0,1,6,True
92,92,0,3,0,925,13944,887,1072.1311612207326,4,0,,True,1,1480.2454065,2,2.75,0.55,8,,JUNGLE,901,74.0,9,3,2,10.0,-4.496098895301444,3,11,0,4,5,5,3,True
151,151,0,14,1,0,17281,50,842.102097123178,0,0,,False,0,2035.9576179,1,27.0,0.7297297297297297,13,,BOTTOM,0,62.0,1,2,5,9.870065046153684,2.956315487759809,0,27,1,4,3,6,3,True
194,194,0,12,1,300,18429,145,1078.0646189088886,9,0,,False,0,2016.0433446,1,2.888888888888889,0.490566037735849,14,,BOTTOM,502,83.59999996423721,8,3,2,9.962864452189336,6.02481316371793,1,26,1,2,2,3,7,True
47,47,0,10,1,150,18580,200,770.313460900088,2,0,,False,0,1643.3363375,2,7.5,0.5357142857142857,5,,JUNGLE,860,166.40000012516975,3,5,0,9.547666341614017,5.818949003326047,0,15,1,7,0,8,3,True
279,279,0,5,0,300,10875,50,1123.830563355163,8,0,,False,0,1666.1093152,0,2.0,0.6666666666666666,11,,BOTTOM,333,0.0,0,0,3,8.906868563564084,-5.967648011524837,0,16,0,0,1,0,10,False
434,434,0,8,0,0,6521,12,237.48982412901728,6,0,,False,1,1483.9667067,0,1.6666666666666667,0.5263157894736842,2,,BOTTOM,596,4.0,0,1,0,5.791939941360146,-7.153440409893079,0,10,0,0,0,0,10,False
26,26,0,10,0,0,12042,50,426.8882631475981,4,0,,False,0,1617.0914109,0,2.75,0.44,1,,TOP,690,2.5999999940395355,0,1,0,8.84851578155282,-7.153219759966774,0,11,0,1,2,1,11,False
309,309,0,5,0,1150,14490,200,660.3153133453895,5,0,,False,0,1809.2737632,0,2.0,0.5555555555555556,5,,JUNGLE,1073,44.20000004768372,0,1,0,8.74138470825772,-8.858595111652868,0,10,0,1,3,1,11,False
122,122,0,11,2,0,18101,121,718.0529746498371,0,0,,False,1,1872.6372313,0,20.0,0.5882352941176471,9,,JUNGLE,1867,55.3999999165535,0,3,1,9.0459723616383,8.821016329701678,2,20,2,1,0,1,2,True
220,220,0,10,0,300,22286,2,836.0156912425117,6,0,,False,0,2356.6821794,0,3.0,0.4615384615384615,8,,TOP,707,11.0,0,1,1,9.96205342389471,0.9290552676624344,3,18,0,1,2,5,6,True
184,184,0,13,2,0,16716,50,765.434327215323,3,0,,False,0,2054.7092089,0,6.333333333333333,0.6785714285714286,6,,TOP,820,3.0,0,1,0,9.831214265828727,6.954177308191696,0,19,2,2,0,3,5,True
104,104,0,38,1,0,10877,497,331.50835088965323,4,0,,False,0,1672.7574582,1,9.75,0.78,1,,BOTTOM,600,2.0,1,2,0,7.452442771229478,11.486969233869573,0,39,1,0,0,4,2,True
161,161,0,9,2,300,28227,18,1280.37178991598,4,0,,False,0,2233.211874,1,7.25,0.6590909090909091,20,,MIDDLE,770,152.80000001192093,3,4,5,10.0,6.568468237736283,5,29,2,7,6,9,5,True
