,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win
0,1,7,0,1,0,0,2,1,0,2,25,23,1.1387577430747626,False
1,3,5,0,0,0,1,2,1,0,2,23,21,0.7715323369578826,False
2,6,9,0,2,0,2,2,2,0,2,23,40,-7.501553186302232,False
3,10,2,3,0,1,0,4,0,1,1,38,13,11.754924306735056,True
4,8,2,1,0,0,1,3,1,2,0,37,23,5.554851163507699,True
5,11,2,2,0,1,0,3,1,1,1,36,20,8.99939844201635,True
6,2,9,0,3,0,1,0,5,1,1,25,36,-4.829363956068789,False
7,11,2,3,0,2,0,4,0,2,0,37,21,7.627884140286994,True
8,1,9,0,1,0,0,1,2,0,2,25,35,-6.773381212570932,False
9,2,6,0,1,0,1,0,3,2,0,11,31,-10.99031344520813,False
10,8,2,1,0,1,0,4,0,0,2,36,22,9.158062983646275,True
11,4,4,1,2,0,0,0,0,0,0,49,62,-9.712605940962248,True
12,9,6,1,1,2,0,3,3,0,2,40,24,5.710258567915446,True
13,2,7,0,1,1,0,2,1,0,2,19,23,-6.3601579595092375,False
14,11,4,4,0,2,0,4,1,0,2,31,22,3.06008125793867,True
15,9,1,1,0,0,1,0,2,2,0,22,28,-1.0789079043015661,True
16,9,4,2,0,1,0,2,2,1,1,47,27,10.245530860915977,True
17,4,11,1,3,0,2,1,4,1,1,34,51,-1.4972678945840343,False
18,11,1,3,0,1,0,2,1,2,0,42,21,9.438694912338349,True
19,6,9,0,1,1,0,0,3,1,1,21,38,-4.517006649470723,False
20,10,7,3,1,1,1,3,2,0,1,39,32,5.431613094674333,False
21,9,7,2,1,0,2,2,3,2,0,43,37,2.7132532944727075,False
22,0,11,0,3,0,2,0,4,0,2,22,34,-5.524130225167951,False
23,10,1,2,0,1,0,1,3,2,0,38,18,8.464703851508538,True
24,2,8,0,1,0,1,1,2,0,2,15,25,-9.02399064075022,False
25,1,11,0,3,0,1,0,4,1,1,12,22,-8.976375892715446,False
26,11,1,2,0,1,0,1,2,2,0,25,10,13.63195111066252,True
27,9,2,1,0,1,0,2,0,1,1,22,10,10.839325075263659,True
28,1,7,0,2,0,1,0,4,0,2,16,32,-8.999891375890911,False
29,8,3,1,0,1,1,1,3,2,0,28,20,7.157640061041079,True
30,5,7,0,1,0,1,0,4,2,0,22,32,-2.2636156496980107,False
31,4,10,0,1,0,2,4,2,1,1,32,32,1.6641322546821868,False
32,8,1,1,0,1,0,2,1,2,0,30,25,2.191438410446338,True
33,2,11,0,2,0,1,0,4,0,2,28,42,-3.3032700127207733,False
34,8,3,1,0,1,0,2,1,0,2,39,27,5.090708713346629,True
35,8,4,1,0,1,0,2,0,1,1,34,11,12.629003508512511,True
36,9,3,2,0,1,0,3,0,2,0,28,10,11.350068415202458,True
37,10,2,2,0,0,1,2,2,0,2,24,22,-0.13691095150957722,True
