,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win
0,4,8,0,2,0,1,1,1,1,1,18,21,-3.83550946490859,False
1,9,1,1,0,1,0,2,1,2,0,38,21,4.641091558865931,True
2,7,4,1,0,1,0,2,3,1,1,30,25,3.3415467199587283,True
3,3,7,0,1,0,0,0,4,0,1,16,24,-8.8676267509207,False
4,9,0,3,0,1,0,3,0,2,0,23,15,5.433976097420086,True
5,1,11,0,3,0,1,2,1,1,1,29,51,-6.704348284218035,False
6,11,4,3,0,2,0,1,2,0,2,43,28,4.3344493651814275,True
7,10,0,2,0,1,0,2,1,2,0,34,6,17.33199543442938,True
8,8,5,2,0,1,0,4,0,0,2,28,29,3.444026988940486,True
9,11,0,3,0,1,0,1,3,2,0,26,16,6.047312052891293,True
10,2,10,0,3,0,2,1,2,1,1,23,34,-4.238018387782255,False
11,10,3,1,0,1,0,3,0,1,1,42,18,11.87215624719542,True
12,4,3,0,0,0,0,3,0,1,1,21,7,10.698431439753442,True
13,7,10,1,1,1,1,1,3,0,1,35,32,2.482556934736479,False
14,10,3,1,0,1,0,2,2,1,1,43,28,5.1988611572567365,True
15,9,3,1,0,1,0,3,0,2,0,26,13,9.899136798259399,True
16,7,8,1,1,0,2,2,3,0,2,34,43,-2.48912905981706,False
17,10,6,2,0,1,1,0,4,2,0,31,25,1.2372417675367942,True
18,2,10,0,2,0,1,0,3,0,2,9,31,-12.317517664627793,False
19,9,3,1,0,1,0,1,2,1,1,33,16,8.025182270125761,True
20,8,6,1,0,1,2,2,4,1,1,29,34,-2.335121289901373,True
21,5,10,0,1,0,2,0,3,0,2,15,35,-10.974013542469663,False
22,11,5,3,0,0,2,2,3,0,1,41,30,1.1816654965414841,True
23,2,6,0,0,0,0,0,4,2,0,12,35,-14.257424981774903,False
24,10,1,2,0,1,0,3,0,1,0,37,25,7.190339633003589,True
25,3,9,0,2,0,1,4,0,0,1,26,34,-0.49503227849270814,False
26,2,11,0,3,0,1,1,4,2,0,29,40,-1.8567567104306733,False
27,10,5,1,0,2,0,2,3,1,0,49,37,1.4629834831127226,True
28,9,4,1,0,3,0,5,0,2,0,41,31,5.097908386808967,True
29,11,3,3,0,2,0,4,1,1,1,35,32,0.11723673412195978,True
30,10,2,1,0,0,1,4,0,1,1,37,30,3.845410512012741,True
31,10,5,1,0,2,0,2,2,0,2,44,33,6.568468237736283,True
32,10,0,2,0,1,0,3,0,2,0,41,17,11.65506258730101,True
33,4,8,0,1,0,1,1,3,0,2,19,35,-8.867400959453327,False
34,0,10,0,2,0,1,0,3,0,2,7,27,-15.404397225916576,False
35,8,2,1,0,1,0,2,1,1,0,28,24,1.4809693842457818,True
36,9,2,2,0,0,0,3,0,2,0,35,23,4.175467666051972,True
37,10,3,2,0,1,0,4,0,1,1,34,16,7.830413196500878,True
38,10,3,2,0,2,0,0,3,2,0,42,29,2.3997932979020433,True
39,8,2,1,0,1,0,3,1,1,1,50,21,11.486969233869573,True
40,8,3,1,0,1,0,3,0,0,2,30,19,7.373163258683611,True
41,2,11,0,4,0,2,1,4,0,2,35,36,-4.195134181219608,False
42,7,2,1,0,0,0,1,2,2,0,30,20,6.801099552176893,True
43,11,3,3,0,2,0,2,1,0,2,42,21,6.24758313254106,True
44,2,10,0,2,0,1,1,3,0,2,19,31,-7.153440409893079,False
45,11,1,3,0,1,0,2,1,2,0,44,20,9.607753385603232,True
46,8,3,1,0,1,0,3,0,1,1,41,24,6.35216086773822,True
47,5,7,0,1,1,0,2,2,1,1,22,25,0.5003977707646428,False
48,2,8,0,1,0,1,3,0,0,2,36,33,-1.4341229910936732,False
49,9,1,2,0,0,1,2,1,2,0,37,15,10.480494736199852,True
50,0,10,0,2,0,1,1,3,0,2,20,28,-7.694905709674892,False
51,8,4,1,0,2,0,3,2,2,0,32,17,6.27598835193897,True
52,2,4,1,1,0,0,0,0,0,0,64,67,-0.746748490309848,False
53,4,8,0,1,1,1,0,5,2,0,23,44,-6.398008683413352,False
54,10,6,2,1,1,1,3,2,2,0,38,37,2.4855737743161868,True
55,2,10,0,3,0,3,0,4,0,2,20,28,-4.286355429380876,False
56,11,5,3,1,1,0,2,2,1,1,40,18,11.370676587139357,True
57,3,10,0,2,0,1,1,2,2,0,22,34,-5.871477702244832,False
58,9,4,2,1,1,0,2,1,1,1,34,26,3.5418702643331343,True
59,3,10,0,1,0,1,1,2,0,2,25,38,-7.48793918254453,False
60,5,2,0,0,1,0,0,3,1,1,32,25,5.9880055129413705,True
61,9,3,1,0,1,0,2,1,1,0,46,39,6.34864405116528,True
62,0,8,0,1,0,1,1,2,0,2,10,32,-12.16144043474506,False
63,10,0,2,0,1,0,3,0,2,0,47,21,12.222507305745772,True
64,4,8,0,2,0,1,1,1,1,1,18,21,-3.83550946490859,False
65,9,1,1,0,1,0,2,1,2,0,38,21,4.641091558865931,True
66,7,4,1,0,1,0,2,3,1,1,30,25,3.3415467199587283,True
67,3,7,0,1,0,0,0,4,0,1,16,24,-8.8676267509207,False
68,9,0,3,0,1,0,3,0,2,0,23,15,5.433976097420086,True
69,1,11,0,3,0,1,2,1,1,1,29,51,-6.704348284218035,False
70,11,4,3,0,2,0,1,2,0,2,43,28,4.3344493651814275,True
71,10,0,2,0,1,0,2,1,2,0,34,6,17.33199543442938,True
72,8,5,2,0,1,0,4,0,0,2,28,29,3.444026988940486,True
73,11,0,3,0,1,0,1,3,2,0,26,16,6.047312052891293,True
74,2,10,0,3,0,2,1,2,1,1,23,34,-4.238018387782255,False
