,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win
0,2,11,0,2,0,2,2,2,0,2,20,32,-6.826708054493331,False
1,10,1,1,0,2,0,3,2,2,0,31,17,7.026681212485649,True
2,2,9,0,1,0,1,1,1,0,2,17,25,-5.512890649525865,False
3,9,2,1,0,1,0,0,3,1,1,40,37,5.149971117199158,True
4,11,4,3,0,2,1,2,3,1,1,38,51,0.09048435692341172,True
5,1,7,0,1,0,1,0,4,1,1,14,33,-12.848788044401566,False
6,11,4,2,0,2,0,2,2,2,0,44,24,8.52212965872409,True
7,4,10,0,1,0,1,3,1,0,2,30,29,1.1250270239936313,False
8,11,1,2,0,1,0,2,1,2,0,34,20,7.329555880444538,True
9,11,3,4,0,2,0,2,2,2,0,54,36,4.440796102478359,True
10,3,8,0,1,0,1,0,3,2,0,16,37,-11.915086465656643,False
11,6,8,1,1,0,2,3,2,2,0,37,34,-0.5976593263805938,False
12,5,9,0,1,0,2,2,2,1,1,27,37,-4.820118519576155,False
13,8,10,2,2,1,1,2,2,1,1,28,32,-2.314940694395773,False
14,5,7,0,1,0,1,0,3,1,1,21,30,-3.9883532097404313,False
15,0,6,0,1,0,1,1,2,0,2,21,38,-9.831492931984009,False
16,8,1,1,0,1,0,3,0,2,0,29,13,6.543173496129462,True
17,4,10,0,1,0,2,2,2,1,1,29,52,-9.320976942822178,False
18,4,11,0,3,0,1,2,2,0,2,29,32,1.0406845331885037,False
19,6,1,0,0,1,0,3,0,1,1,37,20,7.502841938017063,True
20,5,9,1,1,0,1,1,3,0,2,22,51,-11.411049368156789,False
21,9,6,2,1,1,1,1,4,0,2,26,29,-1.2667674163894986,True
22,3,6,0,0,0,1,1,2,0,2,14,27,-9.10823104172426,False
23,11,1,3,0,1,0,2,2,0,2,26,15,9.847667930429665,True
24,8,6,2,2,0,2,4,2,2,0,39,30,0.9290552676624344,True
25,8,7,3,1,1,0,3,1,0,2,24,19,4.602406511430807,True
26,10,1,1,0,1,0,2,0,2,0,30,32,-3.555377963531754,True
27,8,3,1,0,1,0,2,2,0,1,27,29,-0.9348737677715278,True
28,9,3,2,0,0,1,1,1,2,0,20,29,-4.496098895301444,True
29,2,11,0,3,0,1,2,1,0,2,18,43,-13.020456537248222,False
30,11,5,3,1,1,0,1,2,0,2,37,16,9.911965518252721,True
31,2,9,0,1,0,1,0,3,0,2,8,26,-14.30574586729093,False
32,3,11,0,3,0,3,0,6,0,2,32,48,-2.8087763555842216,False
33,2,11,0,2,0,1,1,3,0,2,21,29,-5.476491149720104,False
34,9,2,1,0,1,0,3,0,1,1,29,15,9.057887649769015,True
35,2,11,0,2,0,2,2,2,0,2,20,32,-6.826708054493331,False
36,10,1,1,0,2,0,3,2,2,0,31,17,7.026681212485649,True
37,2,9,0,1,0,1,1,1,0,2,17,25,-5.512890649525865,False
38,9,2,1,0,1,0,0,3,1,1,40,37,5.149971117199158,True
39,11,4,3,0,2,1,2,3,1,1,38,51,0.09048435692341172,True
40,1,7,0,1,0,1,0,4,1,1,14,33,-12.848788044401566,False
41,11,4,2,0,2,0,2,2,2,0,44,24,8.52212965872409,True
42,4,10,0,1,0,1,3,1,0,2,30,29,1.1250270239936313,False
43,11,1,2,0,1,0,2,1,2,0,34,20,7.329555880444538,True
44,11,3,4,0,2,0,2,2,2,0,54,36,4.440796102478359,True
45,3,8,0,1,0,1,0,3,2,0,16,37,-11.915086465656643,False
46,6,8,1,1,0,2,3,2,2,0,37,34,-0.5976593263805938,False
47,5,9,0,1,0,2,2,2,1,1,27,37,-4.820118519576155,False
48,8,10,2,2,1,1,2,2,1,1,28,32,-2.314940694395773,False
49,5,7,0,1,0,1,0,3,1,1,21,30,-3.9883532097404313,False
50,0,6,0,1,0,1,1,2,0,2,21,38,-9.831492931984009,False
51,8,1,1,0,1,0,3,0,2,0,29,13,6.543173496129462,True
52,4,10,0,1,0,2,2,2,1,1,29,52,-9.320976942822178,False
53,4,11,0,3,0,1,2,2,0,2,29,32,1.0406845331885037,False
54,6,1,0,0,1,0,3,0,1,1,37,20,7.502841938017063,True
55,5,9,1,1,0,1,1,3,0,2,22,51,-11.411049368156789,False
56,9,6,2,1,1,1,1,4,0,2,26,29,-1.2667674163894986,True
57,3,6,0,0,0,1,1,2,0,2,14,27,-9.10823104172426,False
58,11,1,3,0,1,0,2,2,0,2,26,15,9.847667930429665,True
59,8,6,2,2,0,2,4,2,2,0,39,30,0.9290552676624344,True
60,8,7,3,1,1,0,3,1,0,2,24,19,4.602406511430807,True
61,10,1,1,0,1,0,2,0,2,0,30,32,-3.555377963531754,True
62,8,3,1,0,1,0,2,2,0,1,27,29,-0.9348737677715278,True
63,9,3,2,0,0,1,1,1,2,0,20,29,-4.496098895301444,True
64,2,11,0,3,0,1,2,1,0,2,18,43,-13.020456537248222,False
65,11,5,3,1,1,0,1,2,0,2,37,16,9.911965518252721,True
66,2,9,0,1,0,1,0,3,0,2,8,26,-14.30574586729093,False
67,3,11,0,3,0,3,0,6,0,2,32,48,-2.8087763555842216,False
68,2,11,0,2,0,1,1,3,0,2,21,29,-5.476491149720104,False
69,9,2,1,0,1,0,3,0,1,1,29,15,9.057887649769015,True
70,2,11,0,2,0,2,2,2,0,2,20,32,-6.826708054493331,False
71,10,1,1,0,2,0,3,2,2,0,31,17,7.026681212485649,True
72,2,9,0,1,0,1,1,1,0,2,17,25,-5.512890649525865,False
73,9,2,1,0,1,0,0,3,1,1,40,37,5.149971117199158,True
74,11,4,3,0,2,1,2,3,1,1,38,51,0.09048435692341172,True
75,1,7,0,1,0,1,0,4,1,1,14,33,-12.848788044401566,False
76,11,4,2,0,2,0,2,2,2,0,44,24,8.52212965872409,True
77,4,10,0,1,0,1,3,1,0,2,30,29,1.1250270239936313,False
78,11,1,2,0,1,0,2,1,2,0,34,20,7.329555880444538,True
79,11,3,4,0,2,0,2,2,2,0,54,36,4.440796102478359,True
80,3,8,0,1,0,1,0,3,2,0,16,37,-11.915086465656643,False
81,6,8,1,1,0,2,3,2,2,0,37,34,-0.5976593263805938,False
82,5,9,0,1,0,2,2,2,1,1,27,37,-4.820118519576155,False
83,8,10,2,2,1,1,2,2,1,1,28,32,-2.314940694395773,False
84,5,7,0,1,0,1,0,3,1,1,21,30,-3.9883532097404313,False
85,0,6,0,1,0,1,1,2,0,2,21,38,-9.831492931984009,False
86,8,1,1,0,1,0,3,0,2,0,29,13,6.543173496129462,True
87,4,10,0,1,0,2,2,2,1,1,29,52,-9.320976942822178,False
88,4,11,0,3,0,1,2,2,0,2,29,32,1.0406845331885037,False
89,6,1,0,0,1,0,3,0,1,1,37,20,7.502841938017063,True
90,5,9,1,1,0,1,1,3,0,2,22,51,-11.411049368156789,False
91,9,6,2,1,1,1,1,4,0,2,26,29,-1.2667674163894986,True
92,3,6,0,0,0,1,1,2,0,2,14,27,-9.10823104172426,False
93,11,1,3,0,1,0,2,2,0,2,26,15,9.847667930429665,True
94,8,6,2,2,0,2,4,2,2,0,39,30,0.9290552676624344,True
95,8,7,3,1,1,0,3,1,0,2,24,19,4.602406511430807,True
96,10,1,1,0,1,0,2,0,2,0,30,32,-3.555377963531754,True
97,8,3,1,0,1,0,2,2,0,1,27,29,-0.9348737677715278,True
98,9,3,2,0,0,1,1,1,2,0,20,29,-4.496098895301444,True
99,2,11,0,3,0,1,2,1,0,2,18,43,-13.020456537248222,False
100,11,5,3,1,1,0,1,2,0,2,37,16,9.911965518252721,True
101,2,9,0,1,0,1,0,3,0,2,8,26,-14.30574586729093,False
102,3,11,0,3,0,3,0,6,0,2,32,48,-2.8087763555842216,False
103,2,11,0,2,0,1,1,3,0,2,21,29,-5.476491149720104,False
104,9,2,1,0,1,0,3,0,1,1,29,15,9.057887649769015,True
105,2,11,0,2,0,2,2,2,0,2,20,32,-6.826708054493331,False
106,10,1,1,0,2,0,3,2,2,0,31,17,7.026681212485649,True
107,2,9,0,1,0,1,1,1,0,2,17,25,-5.512890649525865,False
108,9,2,1,0,1,0,0,3,1,1,40,37,5.149971117199158,True
109,11,4,3,0,2,1,2,3,1,1,38,51,0.09048435692341172,True
110,1,7,0,1,0,1,0,4,1,1,14,33,-12.848788044401566,False
111,11,4,2,0,2,0,2,2,2,0,44,24,8.52212965872409,True
112,4,10,0,1,0,1,3,1,0,2,30,29,1.1250270239936313,False
113,11,1,2,0,1,0,2,1,2,0,34,20,7.329555880444538,True
114,11,3,4,0,2,0,2,2,2,0,54,36,4.440796102478359,True
115,3,8,0,1,0,1,0,3,2,0,16,37,-11.915086465656643,False
116,6,8,1,1,0,2,3,2,2,0,37,34,-0.5976593263805938,False
117,5,9,0,1,0,2,2,2,1,1,27,37,-4.820118519576155,False
118,8,10,2,2,1,1,2,2,1,1,28,32,-2.314940694395773,False
119,5,7,0,1,0,1,0,3,1,1,21,30,-3.9883532097404313,False
120,0,6,0,1,0,1,1,2,0,2,21,38,-9.831492931984009,False
121,8,1,1,0,1,0,3,0,2,0,29,13,6.543173496129462,True
122,4,10,0,1,0,2,2,2,1,1,29,52,-9.320976942822178,False
123,4,11,0,3,0,1,2,2,0,2,29,32,1.0406845331885037,False
124,6,1,0,0,1,0,3,0,1,1,37,20,7.502841938017063,True
125,5,9,1,1,0,1,1,3,0,2,22,51,-11.411049368156789,False
126,9,6,2,1,1,1,1,4,0,2,26,29,-1.2667674163894986,True
127,3,6,0,0,0,1,1,2,0,2,14,27,-9.10823104172426,False
128,11,1,3,0,1,0,2,2,0,2,26,15,9.847667930429665,True
129,8,6,2,2,0,2,4,2,2,0,39,30,0.9290552676624344,True
